,node0,node1,weight
0,happy,glad,1
1,happy,happier,1
2,excited,mad,1
3,excited,sick,2
4,excited,disturbed,2
5,excited,aroused,1
6,excited,crazy,2
7,excited,emotional,1
8,excited,sore,2
9,excited,horny,2
10,excited,awake,2
11,excited,frantic,1
12,excited,stimulated,2
13,excited,excite,1
14,excited,disturb,2
15,excited,frenzied,2
16,excited,burden,2
17,excited,thrill,2
18,excited,insane,2
19,sad,sorry,1
20,sad,regretful,2
21,sad,bad,2
22,sad,miserable,2
23,sad,poor,2
24,sad,worrisome,2
25,sad,criminal,2
26,sad,pathetic,2
27,sad,gloomy,2
28,sad,blue,2
29,sad,distress,2
30,sad,grim,2
31,sad,dark,2
32,sad,woeful,2
33,sad,pitiful,1
34,sad,piteous,2
35,proud,chivalrous,2
36,proud,elevated,2
37,proud,idealistic,2
38,angry,furious,0
39,angry,enraged,2
40,angry,hot,2
41,angry,crazy,2
42,angry,angered,1
43,angry,fantastic,2
44,angry,violent,2
45,angry,rage,2
46,angry,wild,0
47,angry,infuriated,2
48,angry,fierce,2
49,angry,bother,2
50,angry,savage,2
51,scared,fear,2
52,scared,frightened,1
53,scared,terrified,2
54,scared,panicked,2
55,scared,panic,1
56,scared,chill,2
57,scared,weary,2
58,scared,terror,2
59,scared,dull,2
60,scared,scare,1
61,scared,panicky,2
62,scared,fright,1
63,scared,frighten,1
64,disappointed,upset,2
65,disappointed,frustrated,1
66,disappointed,defeated,0
67,disappointed,thwarted,1
68,disappointed,defeat,1
69,nervous,anxious,1
70,nervous,sick,2
71,nervous,awkward,2
72,nervous,uneasy,1
73,nervous,restless,2
74,nervous,nauseous,2
75,nervous,spooky,1
76,nervous,queasy,1
77,nervous,loathsome,2
78,nervous,nauseated,2
79,nervous,offensive,2
80,upset,frustrated,2
81,upset,worried,1
82,upset,confused,1
83,upset,mad,2
84,upset,unhappy,2
85,upset,sick,2
86,upset,stressed,2
87,upset,pain,2
88,upset,defeated,2
89,upset,confuse,2
90,upset,apprehensive,2
91,upset,lost,2
92,upset,distressed,1
93,upset,concern,2
94,upset,distracted,2
95,upset,pained,2
96,upset,humiliated,2
97,upset,agitated,2
98,upset,giving,2
99,upset,worry,2
100,upset,disturbed,1
101,upset,bothered,2
102,upset,better,2
103,upset,touched,2
104,upset,crazy,2
105,upset,troubled,1
106,upset,disoriented,2
107,upset,bewildered,2
108,upset,worrisome,2
109,upset,inconvenienced,2
110,upset,vexed,2
111,upset,crushed,2
112,upset,humbled,2
113,upset,part,2
114,upset,disjointed,2
115,upset,broken,1
116,upset,perturbed,2
117,upset,low,2
118,upset,trouble,1
119,upset,disturb,1
120,upset,worries,2
121,upset,turned,2
122,upset,distress,2
123,upset,thwarted,2
124,upset,discombobulated,2
125,upset,flabbergast,2
126,upset,interrupted,2
127,upset,baffled,2
128,upset,bother,2
129,upset,discover,2
130,upset,flabbergasted,2
131,annoyed,irritated,1
132,annoyed,pain,2
133,annoyed,worry,2
134,annoyed,pissed,0
135,annoyed,annoyance,1
136,annoyed,vexed,1
137,annoyed,harried,0
138,annoyed,trouble,2
139,annoyed,disturb,2
140,annoyed,miffed,0
141,annoyed,soaked,2
142,annoyed,beat,2
143,annoyed,loaded,2
144,annoyed,bother,1
145,annoyed,besotted,2
146,annoyed,wet,2
147,annoyed,peeved,0
148,annoyed,burn,2
149,annoyed,stiff,2
150,surprised,surprise,1
151,surprised,rage,2
152,relieved,calm,2
153,relieved,relief,2
154,relieved,free,1
155,relieved,static,2
156,relieved,comfort,2
157,relieved,tranquil,2
158,relieved,destitute,2
159,relieved,rest,2
160,relieved,detached,2
161,relieved,relaxation,2
162,relieved,beat,2
163,relieved,alleviated,1
164,relieved,bond,2
165,relieved,still,1
166,relieved,appease,2
167,relieved,eased,1
168,relieved,loose,2
169,relieved,barren,2
170,relieved,fancy,2
171,frustrated,curious,2
172,frustrated,defeated,1
173,frustrated,confuse,2
174,frustrated,funny,2
175,frustrated,frugal,2
176,frustrated,grumpy,2
177,frustrated,odd,2
178,frustrated,agony,2
179,frustrated,thwarted,1
180,frustrated,beat,2
181,frustrated,bother,2
182,frustrated,savage,2
183,frustrated,economical,2
184,frustrated,defeat,2
185,satisfied,satisfy,1
186,satisfied,fit,2
187,anxious,sick,2
188,anxious,awkward,2
189,anxious,uneasy,0
190,anxious,restless,1
191,anxious,nauseous,2
192,anxious,spooky,2
193,anxious,queasy,0
194,anxious,loathsome,2
195,anxious,nauseated,2
196,anxious,offensive,2
197,worried,confused,2
198,worried,fear,2
199,worried,mad,2
200,worried,unhappy,2
201,worried,sick,2
202,worried,stressed,2
203,worried,apprehensive,0
204,worried,distressed,1
205,worried,concern,1
206,worried,busy,2
207,worried,worry,1
208,worried,disturbed,1
209,worried,crazy,2
210,worried,troubled,2
211,worried,broken,2
212,worried,trouble,2
213,worried,disturb,2
214,worried,distress,2
215,worried,beat,2
216,worried,bother,2
217,worried,caution,2
218,worried,attention,2
219,determined,prepared,2
220,determined,ready,2
221,determined,secure,2
222,determined,driven,1
223,determined,put,2
224,determined,dictated,0
225,determined,done,2
226,determined,dressed,2
227,determined,resolve,2
228,determined,fit,2
229,determined,discover,2
230,determined,control,2
231,determined,mess,2
232,determined,limited,2
233,determined,fancy,2
234,hopeful,smart,2
235,hopeful,wishful,2
236,hopeful,anticipate,2
237,hopeful,smarter,2
238,hopeful,promise,2
239,hopeful,aspiring,1
240,embarrassed,humiliated,1
241,embarrassed,crushed,2
242,embarrassed,humbled,2
243,embarrassed,broken,2
244,embarrassed,humble,2
245,embarrassed,low,2
246,embarrassed,mortified,1
247,embarrassed,embarrass,1
248,embarrassed,chagrined,1
249,accomplished,gross,1
250,accomplished,complete,0
251,accomplished,realized,0
252,accomplished,satisfy,2
253,accomplished,show,2
254,accomplished,found,2
255,accomplished,perfect,1
256,accomplished,clear,2
257,accomplished,discover,2
258,content,capable,2
259,content,contented,0
260,content,open,2
261,content,dependent,2
262,anticipation,expectation,0
263,grateful,thankful,0
264,joy,pleased,2
265,joy,delighted,2
266,joy,exhilarated,2
267,joy,pleasure,1
268,joy,enthralled,2
269,joy,enjoying,2
270,joy,triumphant,2
271,joy,jubilant,2
272,joy,enjoyed,2
273,joy,enjoy,2
274,joy,prideful,2
275,joy,delight,0
276,joy,jubilation,2
277,joy,enraptured,2
278,joy,pleasing,2
279,joy,enchanted,2
280,joy,triumph,2
281,joy,reveled,2
282,joy,rejoicing,1
283,joy,exulted,1
284,joy,joyousness,0
285,joy,please,2
286,joy,joys,1
287,joy,joyed,1
288,curious,suspicious,2
