,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1015,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,1.0985121726989746,0.3400125801563263,16.6383,668.876,,,
2,1.1006,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,1.0978771448135376,0.3926678001880646,16.7013,666.354,,,
4,1.0989,4.354338842975206e-07,2.07,1500,,,,,,,
5,1.0987,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,1.0946824550628662,0.4942941963672638,16.7566,664.156,,,
7,1.0947,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,0.9001340270042419,0.6646599173545837,16.7575,664.121,,,
9,1.0296,3.708677685950413e-07,4.13,3000,,,,,,,
10,0.8728,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,0.6864872574806213,0.7183933854103088,16.778,663.31,,,
12,0.7805,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.6136986613273621,0.7520891427993774,16.7441,664.652,,,
14,0.7198,3.0630165289256197e-07,6.2,4500,,,,,,,
15,0.6804,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.5749226212501526,0.768083393573761,17.0181,653.952,,,
17,0.6519,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.5489294528961182,0.7775182127952576,16.7762,663.379,,,
19,0.6155,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.6099,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.530316174030304,0.7846167683601379,16.7541,664.255,,,
22,0.5946,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.5212982296943665,0.7886602282524109,16.7638,663.869,,,
24,0.5908,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.5129061937332153,0.7922544479370117,16.8207,661.627,,,
26,0.5856,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.5724,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.5080537796020508,0.7938718795776367,16.8159,661.813,,,
29,0.5666,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.504150927066803,0.7962979674339294,16.7916,662.77,,,
31,0.5509,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.562,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.5017596483230591,0.7982747554779053,16.7666,663.761,,,
34,0.5507,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.5014395117759705,0.7986341714859009,16.8073,662.153,,,
36,0.5518,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.5349,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.4998890459537506,0.7990834712982178,16.7971,662.556,,,
39,,,16.0,11616,,,,,1245.8914,9.323,2244187152263628.0
