,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5621,4.953049879807693e-05,0.15,500,,,,,,,,,,
1,0.5276,4.9060997596153845e-05,0.3,1000,,,,,,,,,,
2,0.5145,4.859149639423078e-05,0.45,1500,,,,,,,,,,
3,0.517,4.8121995192307695e-05,0.6,2000,,,,,,,,,,
4,0.5062,4.765249399038462e-05,0.75,2500,,,,,,,,,,
5,0.4904,4.718299278846154e-05,0.9,3000,,,,,,,,,,
6,,,1.0,3328,0.4981578290462494,0.7540228366851807,70.1627,739.581,46.235,,,,,
7,0.4436,4.671349158653847e-05,1.05,3500,,,,,,,,,,
8,0.3699,4.624399038461539e-05,1.2,4000,,,,,,,,,,
9,0.3847,4.577448918269231e-05,1.35,4500,,,,,,,,,,
10,0.3905,4.530498798076923e-05,1.5,5000,,,,,,,,,,
11,0.3968,4.483548677884616e-05,1.65,5500,,,,,,,,,,
12,0.3956,4.436598557692308e-05,1.8,6000,,,,,,,,,,
13,0.4019,4.3896484375000004e-05,1.95,6500,,,,,,,,,,
14,,,2.0,6656,0.5124547481536865,0.7560270428657532,67.795,765.41,47.85,,,,,
15,0.3015,4.342698317307692e-05,2.1,7000,,,,,,,,,,
16,0.2836,4.2957481971153846e-05,2.25,7500,,,,,,,,,,
17,0.281,4.248798076923077e-05,2.4,8000,,,,,,,,,,
18,0.3,4.2018479567307696e-05,2.55,8500,,,,,,,,,,
19,0.3043,4.1548978365384614e-05,2.7,9000,,,,,,,,,,
20,0.3098,4.107947716346154e-05,2.85,9500,,,,,,,,,,
21,,,3.0,9984,0.6899451017379761,0.7535988688468933,67.3117,770.906,48.194,,,,,
22,0.3092,4.0609975961538463e-05,3.0,10000,,,,,,,,,,
23,0.2061,4.014047475961539e-05,3.16,10500,,,,,,,,,,
24,0.2169,3.9670973557692306e-05,3.31,11000,,,,,,,,,,
25,0.2219,3.920147235576923e-05,3.46,11500,,,,,,,,,,
26,0.2425,3.8731971153846156e-05,3.61,12000,,,,,,,,,,
27,0.2391,3.826246995192308e-05,3.76,12500,,,,,,,,,,
28,0.2578,3.7792968750000005e-05,3.91,13000,,,,,,,,,,
29,,,4.0,13312,0.9897392988204956,0.7450039386749268,67.465,769.155,48.084,,,,,
30,0.2206,3.732346754807692e-05,4.06,13500,,,,,,,,,,
31,0.1672,3.685396634615385e-05,4.21,14000,,,,,,,,,,
32,0.177,3.638446514423077e-05,4.36,14500,,,,,,,,,,
33,0.1804,3.59149639423077e-05,4.51,15000,,,,,,,,,,
34,0.1913,3.5445462740384615e-05,4.66,15500,,,,,,,,,,
35,0.2034,3.497596153846154e-05,4.81,16000,,,,,,,,,,
36,0.2043,3.4506460336538465e-05,4.96,16500,,,,,,,,,,
37,,,5.0,16640,1.182847261428833,0.7427107095718384,67.9488,763.677,47.742,,,,,
