,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5525,4.9529367469879524e-05,0.15,500,,,,,,,,,,
1,0.5289,4.905873493975904e-05,0.3,1000,,,,,,,,,,
2,0.5178,4.858810240963856e-05,0.45,1500,,,,,,,,,,
3,0.5083,4.8117469879518074e-05,0.6,2000,,,,,,,,,,
4,0.4913,4.7646837349397595e-05,0.75,2500,,,,,,,,,,
5,0.5067,4.717620481927711e-05,0.9,3000,,,,,,,,,,
6,,,1.0,3320,0.5175067782402039,0.749127984046936,60.1837,862.21,53.902,,,,,
7,0.4521,4.670557228915663e-05,1.05,3500,,,,,,,,,,
8,0.3741,4.6234939759036145e-05,1.2,4000,,,,,,,,,,
9,0.3815,4.5764307228915666e-05,1.36,4500,,,,,,,,,,
10,0.3973,4.529367469879519e-05,1.51,5000,,,,,,,,,,
11,0.4023,4.48230421686747e-05,1.66,5500,,,,,,,,,,
12,0.3981,4.435240963855422e-05,1.81,6000,,,,,,,,,,
13,0.4035,4.388177710843374e-05,1.96,6500,,,,,,,,,,
14,,,2.0,6640,0.5379010438919067,0.7597463726997375,60.1987,861.996,53.888,,,,,
15,0.3028,4.341114457831326e-05,2.11,7000,,,,,,,,,,
16,0.2739,4.294051204819277e-05,2.26,7500,,,,,,,,,,
17,0.2939,4.2469879518072294e-05,2.41,8000,,,,,,,,,,
18,0.2913,4.199924698795181e-05,2.56,8500,,,,,,,,,,
19,0.3035,4.152861445783133e-05,2.71,9000,,,,,,,,,,
20,0.3119,4.105798192771085e-05,2.86,9500,,,,,,,,,,
21,,,3.0,9960,0.6537951231002808,0.7522113919258118,60.1543,862.632,53.928,,,,,
22,0.3073,4.0587349397590365e-05,3.01,10000,,,,,,,,,,
23,0.2087,4.0116716867469886e-05,3.16,10500,,,,,,,,,,
24,0.2155,3.96460843373494e-05,3.31,11000,,,,,,,,,,
25,0.2209,3.917545180722892e-05,3.46,11500,,,,,,,,,,
26,0.2342,3.8704819277108436e-05,3.61,12000,,,,,,,,,,
27,0.248,3.823418674698796e-05,3.77,12500,,,,,,,,,,
28,0.2455,3.776355421686747e-05,3.92,13000,,,,,,,,,,
29,,,4.0,13280,0.8794180154800415,0.7471815943717957,60.2286,861.567,53.861,,,,,
30,0.21,3.729292168674699e-05,4.07,13500,,,,,,,,,,
31,0.1632,3.6822289156626514e-05,4.22,14000,,,,,,,,,,
32,0.1758,3.635165662650603e-05,4.37,14500,,,,,,,,,,
33,0.1963,3.588102409638555e-05,4.52,15000,,,,,,,,,,
34,0.1899,3.5410391566265064e-05,4.67,15500,,,,,,,,,,
35,0.2016,3.4939759036144585e-05,4.82,16000,,,,,,,,,,
36,0.1949,3.44691265060241e-05,4.97,16500,,,,,,,,,,
37,,,5.0,16600,1.0491529703140259,0.7447919845581055,60.5666,856.76,53.561,,,,,
38,0.1511,3.3998493975903614e-05,5.12,17000,,,,,,,,,,
39,0.1442,3.3527861445783135e-05,5.27,17500,,,,,,,,,,
