,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6801,4.7847796143250695e-06,0.69,500,,,,,,,,,,
1,,,1.0,726,0.5396080017089844,0.7211788892745972,18.287,608.573,38.06,,,,,
2,0.5398,4.569559228650139e-06,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.4716547131538391,0.7670051455497742,18.3784,605.548,37.871,,,,,
4,0.4784,4.354338842975207e-06,2.07,1500,,,,,,,,,,
5,0.4241,4.139118457300276e-06,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.442354291677475,0.7883906960487366,18.421,604.147,37.783,,,,,
7,0.3853,3.923898071625344e-06,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.4524117708206177,0.7945008277893066,18.4572,602.961,37.709,,,,,
9,0.357,3.7086776859504137e-06,4.13,3000,,,,,,,,,,
10,0.3248,3.4934573002754824e-06,4.82,3500,,,,,,,,,,
11,,,5.0,3630,0.46741172671318054,0.7975559234619141,18.4512,603.16,37.721,,,,,
12,0.2902,3.278236914600551e-06,5.51,4000,,,,,,,,,,
13,,,6.0,4356,0.47970038652420044,0.8028573989868164,18.446,603.328,37.732,,,,,
14,0.2701,3.06301652892562e-06,6.2,4500,,,,,,,,,,
15,0.244,2.847796143250689e-06,6.89,5000,,,,,,,,,,
16,,,7.0,5082,0.5330287218093872,0.8017791509628296,18.3971,604.932,37.832,,,,,
17,0.2194,2.6325757575757576e-06,7.58,5500,,,,,,,,,,
18,,,8.0,5808,0.560137152671814,0.8039356470108032,18.3923,605.089,37.842,,,,,
19,0.2076,2.4173553719008267e-06,8.26,6000,,,,,,,,,,
20,0.1921,2.2021349862258958e-06,8.95,6500,,,,,,,,,,
21,,,9.0,6534,0.6300837397575378,0.7982747554779053,18.7996,591.981,37.022,,,,,
22,0.1634,1.9869146005509644e-06,9.64,7000,,,,,,,,,,
23,,,10.0,7260,0.6655147671699524,0.7983646392822266,18.7196,594.511,37.18,,,,,
24,0.1559,1.7716942148760333e-06,10.33,7500,,,,,,,,,,
25,,,11.0,7986,0.7200212478637695,0.7976458072662354,18.6239,597.565,37.371,,,,,
26,0.1423,1.556473829201102e-06,11.02,8000,,,,,,,,,,
27,0.1313,1.341253443526171e-06,11.71,8500,,,,,,,,,,
28,,,12.0,8712,0.7520991563796997,0.7974660992622375,18.5963,598.451,37.427,,,,,
29,0.1128,1.1260330578512398e-06,12.4,9000,,,,,,,,,,
30,,,13.0,9438,0.77116459608078,0.7965674996376038,18.6149,597.856,37.389,,,,,
31,0.1122,9.108126721763086e-07,13.09,9500,,,,,,,,,,
32,0.1009,6.955922865013775e-07,13.77,10000,,,,,,,,,,
33,,,14.0,10164,0.7988240122795105,0.7973762154579163,18.5669,599.401,37.486,,,,,
34,0.0969,4.803719008264464e-07,14.46,10500,,,,,,,,,,
35,,,15.0,10890,0.8144261240959167,0.7982747554779053,18.5068,601.347,37.608,,,,,
36,0.0975,2.651515151515152e-07,15.15,11000,,,,,,,,,,
37,0.0923,4.9931129476584024e-08,15.84,11500,,,,,,,,,,
38,,,16.0,11616,0.8212829232215881,0.7990834712982178,18.5141,601.109,37.593,,,,,
39,,,16.0,11616,,,,,,1512.4847,122.818,7.68,9122570380591872.0,0.2512826140426079
