,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6981,4.9530498798076925e-06,0.15,500,,,,,,,,,,
1,0.6969,4.906099759615385e-06,0.3,1000,,,,,,,,,,
2,0.6953,4.859149639423078e-06,0.45,1500,,,,,,,,,,
3,0.6945,4.81219951923077e-06,0.6,2000,,,,,,,,,,
4,0.6939,4.765249399038462e-06,0.75,2500,,,,,,,,,,
5,0.6938,4.718299278846154e-06,0.9,3000,,,,,,,,,,
6,,,1.0,3328,0.6931276321411133,0.5040180087089539,113.5345,457.05,28.573,,,,,
7,0.694,4.671349158653847e-06,1.05,3500,,,,,,,,,,
8,0.6934,4.624399038461539e-06,1.2,4000,,,,,,,,,,
9,0.6937,4.577448918269231e-06,1.35,4500,,,,,,,,,,
10,0.6936,4.5304987980769235e-06,1.5,5000,,,,,,,,,,
11,0.6922,4.483548677884616e-06,1.65,5500,,,,,,,,,,
12,0.6407,4.436598557692309e-06,1.8,6000,,,,,,,,,,
13,0.6146,4.389648437500001e-06,1.95,6500,,,,,,,,,,
14,,,2.0,6656,0.5944349765777588,0.6568383574485779,111.8742,463.833,28.997,,,,,
15,0.5871,4.342698317307693e-06,2.1,7000,,,,,,,,,,
16,0.5866,4.295748197115385e-06,2.25,7500,,,,,,,,,,
17,0.57,4.248798076923077e-06,2.4,8000,,,,,,,,,,
18,0.5678,4.201847956730769e-06,2.55,8500,,,,,,,,,,
19,0.5681,4.154897836538461e-06,2.7,9000,,,,,,,,,,
20,0.5647,4.107947716346154e-06,2.85,9500,,,,,,,,,,
21,,,3.0,9984,0.5717741847038269,0.684685230255127,112.3145,462.015,28.883,,,,,
22,0.5635,4.0609975961538465e-06,3.0,10000,,,,,,,,,,
23,0.53,4.014047475961539e-06,3.16,10500,,,,,,,,,,
24,0.5363,3.967097355769231e-06,3.31,11000,,,,,,,,,,
25,0.5396,3.920147235576923e-06,3.46,11500,,,,,,,,,,
26,0.5385,3.873197115384616e-06,3.61,12000,,,,,,,,,,
27,0.53,3.826246995192308e-06,3.76,12500,,,,,,,,,,
28,0.5263,3.779296875e-06,3.91,13000,,,,,,,,,,
29,,,4.0,13312,0.5721039175987244,0.6950531005859375,112.2256,462.381,28.906,,,,,
30,0.507,3.7323467548076923e-06,4.06,13500,,,,,,,,,,
31,0.5056,3.685396634615385e-06,4.21,14000,,,,,,,,,,
32,0.5072,3.6384465144230774e-06,4.36,14500,,,,,,,,,,
33,0.4996,3.5914963942307696e-06,4.51,15000,,,,,,,,,,
34,0.5045,3.5445462740384617e-06,4.66,15500,,,,,,,,,,
35,0.5088,3.497596153846154e-06,4.81,16000,,,,,,,,,,
36,0.4995,3.450646033653847e-06,4.96,16500,,,,,,,,,,
37,,,5.0,16640,0.5861595273017883,0.7011620402336121,112.3466,461.883,28.875,,,,,
38,0.4821,3.403695913461539e-06,5.11,17000,,,,,,,,,,
39,0.4688,3.356745793269231e-06,5.26,17500,,,,,,,,,,
40,0.4777,3.3097956730769232e-06,5.41,18000,,,,,,,,,,
41,0.4733,3.2628455528846158e-06,5.56,18500,,,,,,,,,,
42,0.4745,3.215895432692308e-06,5.71,19000,,,,,,,,,,
43,0.4723,3.1689453125e-06,5.86,19500,,,,,,,,,,
44,,,6.0,19968,0.58664870262146,0.7051704525947571,112.5,461.253,28.836,,,,,
45,0.4744,3.1219951923076926e-06,6.01,20000,,,,,,,,,,
46,0.4505,3.0750450721153847e-06,6.16,20500,,,,,,,,,,
47,0.4512,3.0280949519230773e-06,6.31,21000,,,,,,,,,,
48,0.4449,2.9811448317307694e-06,6.46,21500,,,,,,,,,,
49,0.4476,2.9341947115384616e-06,6.61,22000,,,,,,,,,,
50,0.4464,2.8872445913461537e-06,6.76,22500,,,,,,,,,,
