,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.698,4.9530498798076925e-06,0.15,500,,,,,,,,,,
1,0.6178,4.906099759615385e-06,0.3,1000,,,,,,,,,,
2,0.5733,4.859149639423078e-06,0.45,1500,,,,,,,,,,
3,0.5683,4.81219951923077e-06,0.6,2000,,,,,,,,,,
4,0.5475,4.765249399038462e-06,0.75,2500,,,,,,,,,,
5,0.5492,4.718299278846154e-06,0.9,3000,,,,,,,,,,
6,,,1.0,3328,0.5432634353637695,0.710643470287323,74.0955,700.326,43.781,,,,,
7,0.5364,4.671349158653847e-06,1.05,3500,,,,,,,,,,
8,0.5137,4.624399038461539e-06,1.2,4000,,,,,,,,,,
9,0.5069,4.577448918269231e-06,1.35,4500,,,,,,,,,,
10,0.5073,4.5304987980769235e-06,1.5,5000,,,,,,,,,,
11,0.5129,4.483548677884616e-06,1.65,5500,,,,,,,,,,
12,0.5051,4.436598557692309e-06,1.8,6000,,,,,,,,,,
13,0.4978,4.389648437500001e-06,1.95,6500,,,,,,,,,,
14,,,2.0,6656,0.5480579733848572,0.7216087579727173,75.3,689.123,43.081,,,,,
15,0.4673,4.342698317307693e-06,2.1,7000,,,,,,,,,,
16,0.4645,4.295748197115385e-06,2.25,7500,,,,,,,,,,
17,0.4557,4.248798076923077e-06,2.4,8000,,,,,,,,,,
18,0.4698,4.201847956730769e-06,2.55,8500,,,,,,,,,,
19,0.4565,4.154897836538461e-06,2.7,9000,,,,,,,,,,
20,0.4721,4.107947716346154e-06,2.85,9500,,,,,,,,,,
21,,,3.0,9984,0.5478687286376953,0.7243452668190002,75.4234,687.996,43.011,,,,,
22,0.4611,4.0609975961538465e-06,3.0,10000,,,,,,,,,,
23,0.4316,4.014047475961539e-06,3.16,10500,,,,,,,,,,
24,0.4182,3.967097355769231e-06,3.31,11000,,,,,,,,,,
25,0.4183,3.920147235576923e-06,3.46,11500,,,,,,,,,,
26,0.4201,3.873197115384616e-06,3.61,12000,,,,,,,,,,
27,0.4236,3.826246995192308e-06,3.76,12500,,,,,,,,,,
28,0.4331,3.779296875e-06,3.91,13000,,,,,,,,,,
29,,,4.0,13312,0.5816324353218079,0.7236707806587219,75.3446,688.716,43.056,,,,,
30,0.4133,3.7323467548076923e-06,4.06,13500,,,,,,,,,,
31,0.3898,3.685396634615385e-06,4.21,14000,,,,,,,,,,
32,0.3854,3.6384465144230774e-06,4.36,14500,,,,,,,,,,
33,0.3945,3.5914963942307696e-06,4.51,15000,,,,,,,,,,
34,0.3835,3.5445462740384617e-06,4.66,15500,,,,,,,,,,
35,0.3867,3.497596153846154e-06,4.81,16000,,,,,,,,,,
36,0.3902,3.450646033653847e-06,4.96,16500,,,,,,,,,,
37,,,5.0,16640,0.6156655550003052,0.7200863361358643,74.9938,691.937,43.257,,,,,
38,0.3567,3.403695913461539e-06,5.11,17000,,,,,,,,,,
39,0.3493,3.356745793269231e-06,5.26,17500,,,,,,,,,,
40,0.3615,3.3097956730769232e-06,5.41,18000,,,,,,,,,,
41,0.3521,3.2628455528846158e-06,5.56,18500,,,,,,,,,,
42,0.3543,3.215895432692308e-06,5.71,19000,,,,,,,,,,
43,0.3633,3.1689453125e-06,5.86,19500,,,,,,,,,,
44,,,6.0,19968,0.6690659523010254,0.7202019691467285,74.7464,694.227,43.4,,,,,
45,0.3575,3.1219951923076926e-06,6.01,20000,,,,,,,,,,
46,0.3164,3.0750450721153847e-06,6.16,20500,,,,,,,,,,
47,0.3187,3.0280949519230773e-06,6.31,21000,,,,,,,,,,
48,0.3038,2.9811448317307694e-06,6.46,21500,,,,,,,,,,
49,0.3308,2.9341947115384616e-06,6.61,22000,,,,,,,,,,
50,0.3317,2.8872445913461537e-06,6.76,22500,,,,,,,,,,
51,0.3319,2.8402944711538467e-06,6.91,23000,,,,,,,,,,
52,,,7.0,23296,0.7498382925987244,0.7178508639335632,75.1636,690.374,43.159,,,,,
53,0.3086,2.793344350961539e-06,7.06,23500,,,,,,,,,,
54,0.2824,2.746394230769231e-06,7.21,24000,,,,,,,,,,
55,0.2943,2.699444110576923e-06,7.36,24500,,,,,,,,,,
56,0.3043,2.6524939903846157e-06,7.51,25000,,,,,,,,,,
57,0.2942,2.6055438701923082e-06,7.66,25500,,,,,,,,,,
58,0.2938,2.5585937500000004e-06,7.81,26000,,,,,,,,,,
59,0.3013,2.5116436298076925e-06,7.96,26500,,,,,,,,,,
60,,,8.0,26624,0.815973699092865,0.7156347036361694,75.5966,686.419,42.912,,,,,
61,0.2683,2.4646935096153846e-06,8.11,27000,,,,,,,,,,
62,0.2623,2.417743389423077e-06,8.26,27500,,,,,,,,,,
63,0.2627,2.3707932692307693e-06,8.41,28000,,,,,,,,,,
64,0.2708,2.3238431490384615e-06,8.56,28500,,,,,,,,,,
65,0.2876,2.276893028846154e-06,8.71,29000,,,,,,,,,,
66,0.2782,2.229942908653846e-06,8.86,29500,,,,,,,,,,
67,,,9.0,29952,0.860498309135437,0.7128981947898865,76.0819,682.042,42.638,,,,,
68,0.262,2.1829927884615387e-06,9.01,30000,,,,,,,,,,
69,0.242,2.136042668269231e-06,9.16,30500,,,,,,,,,,
70,0.2402,2.0890925480769234e-06,9.31,31000,,,,,,,,,,
71,0.2475,2.0421424278846155e-06,9.47,31500,,,,,,,,,,
72,0.2432,1.995192307692308e-06,9.62,32000,,,,,,,,,,
73,0.2511,1.9482421875000002e-06,9.77,32500,,,,,,,,,,
74,0.256,1.9012920673076924e-06,9.92,33000,,,,,,,,,,
75,,,10.0,33280,0.9295399785041809,0.7114721536636353,75.6074,686.322,42.906,,,,,
76,0.2404,1.8543419471153847e-06,10.07,33500,,,,,,,,,,
77,0.2189,1.8073918269230769e-06,10.22,34000,,,,,,,,,,
78,0.2218,1.7604417067307694e-06,10.37,34500,,,,,,,,,,
79,0.2363,1.7134915865384616e-06,10.52,35000,,,,,,,,,,
80,0.226,1.6665414663461541e-06,10.67,35500,,,,,,,,,,
81,0.2374,1.6195913461538462e-06,10.82,36000,,,,,,,,,,
82,0.2328,1.5726412259615386e-06,10.97,36500,,,,,,,,,,
83,,,11.0,36608,0.9965460896492004,0.7110866904258728,75.1477,690.52,43.168,,,,,
84,0.2193,1.525691105769231e-06,11.12,37000,,,,,,,,,,
85,0.2049,1.4787409855769233e-06,11.27,37500,,,,,,,,,,
86,0.2046,1.4317908653846154e-06,11.42,38000,,,,,,,,,,
87,0.2093,1.384840745192308e-06,11.57,38500,,,,,,,,,,
88,0.2149,1.3378906250000001e-06,11.72,39000,,,,,,,,,,
89,0.2203,1.2909405048076923e-06,11.87,39500,,,,,,,,,,
90,,,12.0,39936,1.0688629150390625,0.7111830711364746,75.8053,684.53,42.794,,,,,
91,0.2193,1.2439903846153848e-06,12.02,40000,,,,,,,,,,
92,0.1803,1.197040264423077e-06,12.17,40500,,,,,,,,,,
93,0.2024,1.1500901442307693e-06,12.32,41000,,,,,,,,,,
94,0.1995,1.1031400240384616e-06,12.47,41500,,,,,,,,,,
95,0.196,1.056189903846154e-06,12.62,42000,,,,,,,,,,
96,0.2091,1.0092397836538461e-06,12.77,42500,,,,,,,,,,
97,0.2112,9.622896634615385e-07,12.92,43000,,,,,,,,,,
98,,,13.0,43264,1.140000581741333,0.7100268006324768,74.7426,694.263,43.402,,,,,
99,0.1953,9.153395432692308e-07,13.07,43500,,,,,,,,,,
100,0.1832,8.683894230769231e-07,13.22,44000,,,,,,,,,,
101,0.1876,8.214393028846154e-07,13.37,44500,,,,,,,,,,
102,0.1946,7.744891826923078e-07,13.52,45000,,,,,,,,,,
103,0.1905,7.275390625000001e-07,13.67,45500,,,,,,,,,,
104,0.1927,6.805889423076923e-07,13.82,46000,,,,,,,,,,
105,0.187,6.336388221153847e-07,13.97,46500,,,,,,,,,,
106,,,14.0,46592,1.2340933084487915,0.7099497318267822,75.6833,685.633,42.863,,,,,
107,0.1646,5.86688701923077e-07,14.12,47000,,,,,,,,,,
108,0.185,5.397385817307693e-07,14.27,47500,,,,,,,,,,
109,0.1864,4.927884615384615e-07,14.42,48000,,,,,,,,,,
110,0.1731,4.458383413461539e-07,14.57,48500,,,,,,,,,,
111,0.1866,3.9888822115384617e-07,14.72,49000,,,,,,,,,,
112,0.1773,3.519381009615385e-07,14.87,49500,,,,,,,,,,
113,,,15.0,49920,1.2433857917785645,0.7099882364273071,74.5618,695.946,43.508,,,,,
114,0.1753,3.049879807692308e-07,15.02,50000,,,,,,,,,,
115,0.1708,2.580378605769231e-07,15.17,50500,,,,,,,,,,
116,0.1631,2.1108774038461543e-07,15.32,51000,,,,,,,,,,
117,0.1841,1.641376201923077e-07,15.47,51500,,,,,,,,,,
118,0.1718,1.1718750000000002e-07,15.62,52000,,,,,,,,,,
119,0.1689,7.023737980769231e-08,15.78,52500,,,,,,,,,,
120,0.17,2.328725961538462e-08,15.93,53000,,,,,,,,,,
121,,,16.0,53248,1.255412220954895,0.7099689841270447,75.0029,691.853,43.252,,,,,
122,,,16.0,53248,,,,,,6516.6366,130.703,8.171,3.1013086194253104e+16,0.3150543366343929
