,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.8358,4.911356947842428e-05,0.37,500,,,,,,,,,,,,,
1,0.7964,4.822713895684857e-05,0.74,1000,,,,,,,,,,,,,
2,,,1.0,1343,0.8129000663757324,0.6450746614191457,0.6215884085629326,0.6133648120163272,0.6450746614191457,28.7425,1502.827,46.969,,,,,
3,0.7478,4.7340708435272845e-05,1.12,1500,,,,,,,,,,,,,
4,0.7109,4.645427791369713e-05,1.49,2000,,,,,,,,,,,,,
5,0.7146,4.556784739212141e-05,1.86,2500,,,,,,,,,,,,,
6,,,2.0,2686,0.8174519538879395,0.6484778330825327,0.6063965441887478,0.6187414447972708,0.6484778330825327,28.7564,1502.101,46.946,,,,,
7,0.672,4.468141687054569e-05,2.23,3000,,,,,,,,,,,,,
8,0.6658,4.379498634896997e-05,2.61,3500,,,,,,,,,,,,,
9,0.6771,4.290855582739425e-05,2.98,4000,,,,,,,,,,,,,
10,,,3.0,4029,0.8357038497924805,0.6515337423312884,0.6144431161438599,0.6180820053583017,0.6515337423312884,28.7439,1502.755,46.967,,,,,
11,0.6098,4.2022125305818536e-05,3.35,4500,,,,,,,,,,,,,
12,0.6333,4.113569478424281e-05,3.72,5000,,,,,,,,,,,,,
13,,,4.0,5372,0.8244913220405579,0.6471582359069337,0.623444031064224,0.6179088287662293,0.6471582359069337,34.2543,1261.008,39.411,,,,,
14,0.6282,4.0249264262667095e-05,4.1,5500,,,,,,,,,,,,,
15,0.5739,3.936283374109138e-05,4.47,6000,,,,,,,,,,,,,
16,0.6075,3.8476403219515654e-05,4.84,6500,,,,,,,,,,,,,
17,,,5.0,6715,0.8516802191734314,0.6405139483736544,0.6129880888317878,0.6046286013981048,0.6405139483736544,25.9271,1666.015,52.069,,,,,
18,0.5694,3.758997269793994e-05,5.21,7000,,,,,,,,,,,,,
19,0.5589,3.670354217636422e-05,5.58,7500,,,,,,,,,,,,,
20,0.5768,3.5817111654788496e-05,5.96,8000,,,,,,,,,,,,,
21,,,6.0,8058,0.8804234266281128,0.6408843616159278,0.624228317795917,0.6142605925179693,0.6408843616159278,31.7708,1359.58,42.492,,,,,
22,0.5245,3.493068113321278e-05,6.33,8500,,,,,,,,,,,,,
23,0.5403,3.404425061163706e-05,6.7,9000,,,,,,,,,,,,,
24,,,7.0,9401,0.9605754017829895,0.6420650538256742,0.6251577323567508,0.6151793962254952,0.6420650538256742,32.6711,1322.116,41.321,,,,,
25,0.5375,3.3157820090061345e-05,7.07,9500,,,,,,,,,,,,,
26,0.5009,3.227138956848562e-05,7.45,10000,,,,,,,,,,,,,
27,0.5317,3.1384959046909904e-05,7.82,10500,,,,,,,,,,,,,
28,,,8.0,10744,1.0767395496368408,0.6380831114712351,0.6232962641681448,0.6143803363606218,0.6380831114712351,30.5926,1411.942,44.128,,,,,
29,0.5063,3.0498528525334187e-05,8.19,11000,,,,,,,,,,,,,
30,0.5016,2.9612098003758467e-05,8.56,11500,,,,,,,,,,,,,
31,0.5224,2.872566748218275e-05,8.94,12000,,,,,,,,,,,,,
32,,,9.0,12087,0.9351432919502258,0.6363699502257205,0.6281820704236009,0.6223209881953283,0.6363699502257205,29.7664,1451.132,45.353,,,,,
33,0.4844,2.783923696060703e-05,9.31,12500,,,,,,,,,,,,,
34,0.4937,2.695280643903131e-05,9.68,13000,,,,,,,,,,,,,
35,,,10.0,13430,1.0269834995269775,0.6383377705752981,0.6274024250472101,0.6196530828953553,0.6383377705752981,27.332,1580.38,49.393,,,,,
36,0.5091,2.6066375917455592e-05,10.05,13500,,,,,,,,,,,,,
37,0.4742,2.517994539587987e-05,10.42,14000,,,,,,,,,,,,,
38,0.4935,2.429351487430415e-05,10.8,14500,,,,,,,,,,,,,
39,,,11.0,14773,1.1051604747772217,0.6412547748582011,0.6083466792827564,0.6008577471182657,0.6412547748582011,29.5162,1463.434,45.738,,,,,
40,0.476,2.3407084352728434e-05,11.17,15000,,,,,,,,,,,,,
41,0.4744,2.2520653831152717e-05,11.54,15500,,,,,,,,,,,,,
42,0.4856,2.1634223309576996e-05,11.91,16000,,,,,,,,,,,,,
