,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.8579,4.92845695970696e-05,0.3,500,,,,,,,,,,,,,
1,0.8107,4.8569139194139195e-05,0.6,1000,,,,,,,,,,,,,
2,0.7919,4.7853708791208794e-05,0.9,1500,,,,,,,,,,,,,
3,,,1.0,1664,0.8099729418754578,0.6487059413000328,0.6018643707790755,0.5951189563099402,0.6487059413000328,33.8124,1534.675,47.971,,,,,
4,0.7561,4.713827838827839e-05,1.2,2000,,,,,,,,,,,,,
5,0.7436,4.642284798534799e-05,1.5,2500,,,,,,,,,,,,,
6,0.7437,4.5707417582417587e-05,1.8,3000,,,,,,,,,,,,,
7,,,2.0,3328,0.8116503357887268,0.6487637547937022,0.6028291744343721,0.6017472796550433,0.6487637547937022,32.4034,1601.406,50.056,,,,,
8,0.7166,4.4991987179487186e-05,2.1,3500,,,,,,,,,,,,,
9,0.6971,4.427655677655678e-05,2.4,4000,,,,,,,,,,,,,
10,0.7112,4.356112637362638e-05,2.7,4500,,,,,,,,,,,,,
11,,,3.0,4992,0.8370484709739685,0.6398990190977241,0.6036329733853917,0.5930656689883933,0.6398990190977241,34.6019,1499.657,46.876,,,,,
12,0.7136,4.284569597069597e-05,3.0,5000,,,,,,,,,,,,,
13,0.6415,4.213026556776557e-05,3.31,5500,,,,,,,,,,,,,
14,0.6747,4.141483516483517e-05,3.61,6000,,,,,,,,,,,,,
15,0.6855,4.0699404761904763e-05,3.91,6500,,,,,,,,,,,,,
16,,,4.0,6656,0.8232041001319885,0.6445048274267214,0.606849134107047,0.6071459643499768,0.6445048274267214,36.2332,1432.141,44.766,,,,,
17,0.6392,3.998397435897436e-05,4.21,7000,,,,,,,,,,,,,
18,0.6287,3.9268543956043956e-05,4.51,7500,,,,,,,,,,,,,
19,0.6512,3.8553113553113556e-05,4.81,8000,,,,,,,,,,,,,
20,,,5.0,8320,0.8647868633270264,0.6464897573760382,0.6117079621441361,0.6016611043101584,0.6464897573760382,32.4922,1597.03,49.92,,,,,
21,0.6262,3.783768315018315e-05,5.11,8500,,,,,,,,,,,,,
22,0.5959,3.712225274725275e-05,5.41,9000,,,,,,,,,,,,,
23,0.6233,3.640682234432235e-05,5.71,9500,,,,,,,,,,,,,
24,,,6.0,9984,0.867560863494873,0.6426355244647434,0.6062572717516863,0.5949141247695643,0.6426355244647434,35.4344,1464.423,45.775,,,,,
25,0.6273,3.569139194139195e-05,6.01,10000,,,,,,,,,,,,,
26,0.5588,3.497596153846154e-05,6.31,10500,,,,,,,,,,,,,
27,0.6015,3.426053113553114e-05,6.61,11000,,,,,,,,,,,,,
28,0.5998,3.354510073260073e-05,6.91,11500,,,,,,,,,,,,,
29,,,7.0,11648,0.9319318532943726,0.6318629434776744,0.6175350056985411,0.6142562856625141,0.6318629434776744,36.7416,1412.323,44.146,,,,,
30,0.5617,3.282967032967033e-05,7.21,12000,,,,,,,,,,,,,
31,0.5597,3.211423992673993e-05,7.51,12500,,,,,,,,,,,,,
32,0.5913,3.1398809523809525e-05,7.81,13000,,,,,,,,,,,,,
33,,,8.0,13312,0.9620482921600342,0.6366807346167929,0.6133277381879552,0.6085476322844318,0.6366807346167929,34.8594,1488.582,46.53,,,,,
34,0.5675,3.0683379120879124e-05,8.11,13500,,,,,,,,,,,,,
35,0.5478,2.9967948717948717e-05,8.41,14000,,,,,,,,,,,,,
36,0.5668,2.9252518315018317e-05,8.71,14500,,,,,,,,,,,,,
37,,,9.0,14976,0.9595544934272766,0.640265171224297,0.6063893553765132,0.5941802047754299,0.640265171224297,33.5683,1545.832,48.319,,,,,
38,0.5787,2.8537087912087913e-05,9.01,15000,,,,,,,,,,,,,
39,0.5368,2.7821657509157512e-05,9.31,15500,,,,,,,,,,,,,
40,0.5495,2.7106227106227105e-05,9.62,16000,,,,,,,,,,,,,
41,0.5601,2.6390796703296705e-05,9.92,16500,,,,,,,,,,,,,
42,,,10.0,16640,0.9584001302719116,0.6408240349964348,0.6019638004100837,0.5978915000988436,0.6408240349964348,34.3454,1510.855,47.226,,,,,
43,0.5365,2.5675366300366298e-05,10.22,17000,,,,,,,,,,,,,
44,0.5336,2.4959935897435897e-05,10.52,17500,,,,,,,,,,,,,
45,0.5549,2.4244505494505497e-05,10.82,18000,,,,,,,,,,,,,
