,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6997,4.941806331471135e-07,0.19,500,,,,,,,
1,0.6967,4.883612662942272e-07,0.37,1000,,,,,,,
2,0.6963,4.825418994413408e-07,0.56,1500,,,,,,,
3,0.688,4.7672253258845435e-07,0.74,2000,,,,,,,
4,0.6339,4.709031657355679e-07,0.93,2500,,,,,,,
5,,,1.0,2685,0.5093217492103577,0.7558050751686096,88.1987,489.746,,,
6,0.5748,4.650837988826816e-07,1.12,3000,,,,,,,
7,0.5173,4.5926443202979516e-07,1.3,3500,,,,,,,
8,0.4896,4.534450651769087e-07,1.49,4000,,,,,,,
9,0.4657,4.476256983240223e-07,1.68,4500,,,,,,,
10,0.4599,4.4180633147113597e-07,1.86,5000,,,,,,,
11,,,2.0,5370,0.41510099172592163,0.8153952956199646,88.2627,489.391,,,
12,0.4427,4.3598696461824953e-07,2.05,5500,,,,,,,
13,0.4266,4.301675977653631e-07,2.23,6000,,,,,,,
14,0.4286,4.2434823091247667e-07,2.42,6500,,,,,,,
15,0.424,4.185288640595903e-07,2.61,7000,,,,,,,
16,0.4018,4.127094972067039e-07,2.79,7500,,,,,,,
17,0.4119,4.068901303538175e-07,2.98,8000,,,,,,,
18,,,3.0,8055,0.3906545639038086,0.8265076875686646,88.2241,489.605,,,
19,0.4095,4.0107076350093104e-07,3.17,8500,,,,,,,
20,0.3951,3.9525139664804466e-07,3.35,9000,,,,,,,
21,0.3913,3.894320297951583e-07,3.54,9500,,,,,,,
22,0.3883,3.8361266294227185e-07,3.72,10000,,,,,,,
23,0.3921,3.7779329608938547e-07,3.91,10500,,,,,,,
24,,,4.0,10740,0.38421574234962463,0.8311147093772888,88.4123,488.563,,,
25,0.3833,3.7197392923649904e-07,4.1,11000,,,,,,,
26,0.3827,3.6615456238361266e-07,4.28,11500,,,,,,,
27,0.3696,3.603351955307262e-07,4.47,12000,,,,,,,
28,0.3675,3.5451582867783984e-07,4.66,12500,,,,,,,
