,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1,4.953049879807692e-07,0.15,500,,,,,,,
1,1.0988,4.906099759615384e-07,0.3,1000,,,,,,,
2,1.0992,4.859149639423077e-07,0.45,1500,,,,,,,
3,1.0994,4.812199519230769e-07,0.6,2000,,,,,,,
4,1.0986,4.765249399038461e-07,0.75,2500,,,,,,,
5,1.096,4.7182992788461533e-07,0.9,3000,,,,,,,
6,,,1.0,3328,1.009110689163208,0.5039987564086914,65.2077,795.78,,,
7,1.052,4.671349158653846e-07,1.05,3500,,,,,,,
8,0.9917,4.6243990384615386e-07,1.2,4000,,,,,,,
9,0.9798,4.5774489182692304e-07,1.35,4500,,,,,,,
10,0.9718,4.5304987980769227e-07,1.5,5000,,,,,,,
11,0.9477,4.4835486778846156e-07,1.65,5500,,,,,,,
12,0.9372,4.4365985576923074e-07,1.8,6000,,,,,,,
13,0.9237,4.3896484375e-07,1.95,6500,,,,,,,
14,,,2.0,6656,0.8778042793273926,0.5816230177879333,63.5002,817.179,,,
15,0.9267,4.342698317307692e-07,2.1,7000,,,,,,,
16,0.9134,4.295748197115384e-07,2.25,7500,,,,,,,
17,0.897,4.248798076923077e-07,2.4,8000,,,,,,,
18,0.8963,4.201847956730769e-07,2.55,8500,,,,,,,
19,0.884,4.1548978365384615e-07,2.7,9000,,,,,,,
20,0.8781,4.1079477163461533e-07,2.85,9500,,,,,,,
21,,,3.0,9984,0.8325740694999695,0.6125532388687134,63.5641,816.357,,,
22,0.8743,4.060997596153846e-07,3.0,10000,,,,,,,
23,0.867,4.0140474759615385e-07,3.16,10500,,,,,,,
24,0.87,3.9670973557692304e-07,3.31,11000,,,,,,,
25,0.8584,3.9201472355769227e-07,3.46,11500,,,,,,,
26,0.8546,3.8731971153846156e-07,3.61,12000,,,,,,,
27,0.8601,3.8262469951923074e-07,3.76,12500,,,,,,,
28,0.855,3.779296875e-07,3.91,13000,,,,,,,
29,,,4.0,13312,0.8116492033004761,0.6218997240066528,63.6734,814.955,,,
30,0.8484,3.732346754807692e-07,4.06,13500,,,,,,,
31,0.8481,3.6853966346153844e-07,4.21,14000,,,,,,,
32,0.8428,3.638446514423077e-07,4.36,14500,,,,,,,
33,0.8372,3.591496394230769e-07,4.51,15000,,,,,,,
34,0.8447,3.5445462740384615e-07,4.66,15500,,,,,,,
35,0.8284,3.4975961538461533e-07,4.81,16000,,,,,,,
36,0.8302,3.450646033653846e-07,4.96,16500,,,,,,,
37,,,5.0,16640,0.8059602975845337,0.6293769478797913,63.5824,816.122,,,
38,0.8273,3.4036959134615385e-07,5.11,17000,,,,,,,
39,0.8382,3.3567457932692303e-07,5.26,17500,,,,,,,
40,0.8174,3.3097956730769227e-07,5.41,18000,,,,,,,
41,0.8122,3.2628455528846156e-07,5.56,18500,,,,,,,
42,0.821,3.215895432692308e-07,5.71,19000,,,,,,,
43,0.8231,3.1689453125e-07,5.86,19500,,,,,,,
44,,,6.0,19968,0.7954040169715881,0.6343874931335449,63.6105,815.761,,,
45,0.818,3.121995192307692e-07,6.01,20000,,,,,,,
46,0.8135,3.0750450721153844e-07,6.16,20500,,,,,,,
47,0.8155,3.028094951923077e-07,6.31,21000,,,,,,,
48,0.8194,2.981144831730769e-07,6.46,21500,,,,,,,
49,0.8002,2.9341947115384615e-07,6.61,22000,,,,,,,
50,0.8121,2.8872445913461533e-07,6.76,22500,,,,,,,
51,0.8048,2.840294471153846e-07,6.91,23000,,,,,,,
52,,,7.0,23296,0.7926417589187622,0.637991189956665,63.691,814.73,,,
53,0.8031,2.7933443509615385e-07,7.06,23500,,,,,,,
54,0.7988,2.746394230769231e-07,7.21,24000,,,,,,,
55,0.8005,2.6994441105769227e-07,7.36,24500,,,,,,,
56,0.8009,2.6524939903846156e-07,7.51,25000,,,,,,,
57,0.8018,2.605543870192308e-07,7.66,25500,,,,,,,
58,0.7936,2.5585937499999997e-07,7.81,26000,,,,,,,
59,0.7966,2.511643629807692e-07,7.96,26500,,,,,,,
60,,,8.0,26624,0.7869366407394409,0.6404578685760498,63.6718,814.976,,,
61,0.7887,2.4646935096153844e-07,8.11,27000,,,,,,,
