,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1038,4.827823691460056e-07,0.34,500,,,,,,,
1,1.1017,4.65564738292011e-07,0.69,1000,,,,,,,
2,,,1.0,1452,1.0970133543014526,0.3933866620063782,44.5356,249.89,,,
3,1.103,4.483471074380165e-07,1.03,1500,,,,,,,
4,1.098,4.3112947658402205e-07,1.38,2000,,,,,,,
5,1.0019,4.139118457300275e-07,1.72,2500,,,,,,,
6,,,2.0,2904,0.6534805297851562,0.7377122640609741,44.8679,248.039,,,
7,0.8072,3.9669421487603305e-07,2.07,3000,,,,,,,
8,0.6932,3.7947658402203853e-07,2.41,3500,,,,,,,
9,0.6536,3.6225895316804406e-07,2.75,4000,,,,,,,
10,,,3.0,4356,0.5410289168357849,0.7939617037773132,44.7977,248.428,,,
11,0.5872,3.450413223140496e-07,3.1,4500,,,,,,,
12,0.5686,3.2782369146005507e-07,3.44,5000,,,,,,,
13,0.5437,3.106060606060606e-07,3.79,5500,,,,,,,
14,,,4.0,5808,0.4843047261238098,0.8196603655815125,45.3341,245.489,,,
15,0.52,2.9338842975206613e-07,4.13,6000,,,,,,,
16,0.4977,2.761707988980716e-07,4.48,6500,,,,,,,
17,0.4893,2.5895316804407714e-07,4.82,7000,,,,,,,
18,,,5.0,7260,0.43936946988105774,0.8358343243598938,44.8636,248.063,,,
19,0.4516,2.417355371900826e-07,5.17,7500,,,,,,,
20,0.4493,2.2451790633608814e-07,5.51,8000,,,,,,,
21,0.4647,2.0730027548209367e-07,5.85,8500,,,,,,,
22,,,6.0,8712,0.4191696047782898,0.8433821797370911,45.1369,246.561,,,
23,0.4409,1.9008264462809918e-07,6.2,9000,,,,,,,
24,0.4423,1.7286501377410468e-07,6.54,9500,,,,,,,
25,0.4147,1.5564738292011019e-07,6.89,10000,,,,,,,
26,,,7.0,10164,0.4232102036476135,0.8481444716453552,45.1166,246.672,,,
27,0.4249,1.3842975206611572e-07,7.23,10500,,,,,,,
28,0.4389,1.2121212121212122e-07,7.58,11000,,,,,,,
29,0.403,1.0399449035812671e-07,7.92,11500,,,,,,,
30,,,8.0,11616,0.42057517170906067,0.8507502675056458,45.1393,246.548,,,
31,0.4161,8.677685950413223e-08,8.26,12000,,,,,,,
32,0.4032,6.955922865013773e-08,8.61,12500,,,,,,,
33,0.4008,5.234159779614325e-08,8.95,13000,,,,,,,
34,,,9.0,13068,0.418183833360672,0.853356122970581,45.1893,246.275,,,
35,0.4083,3.512396694214876e-08,9.3,13500,,,,,,,
36,0.3872,1.790633608815427e-08,9.64,14000,,,,,,,
37,0.3995,6.887052341597796e-10,9.99,14500,,,,,,,
38,,,10.0,14520,0.41579291224479675,0.8536256551742554,45.1865,246.29,,,
39,,,10.0,14520,,,,,2772.1881,5.238,36946148431392.0
