,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1034,4.962349397590361e-07,0.08,500,,,,,,,
1,1.1043,4.924698795180723e-07,0.15,1000,,,,,,,
2,1.1069,4.887048192771084e-07,0.23,1500,,,,,,,
3,1.1033,4.849397590361445e-07,0.3,2000,,,,,,,
4,1.1023,4.811746987951807e-07,0.38,2500,,,,,,,
5,1.1025,4.774096385542168e-07,0.45,3000,,,,,,,
6,1.1032,4.73644578313253e-07,0.53,3500,,,,,,,
7,1.1048,4.6987951807228915e-07,0.6,4000,,,,,,,
8,1.1036,4.661144578313253e-07,0.68,4500,,,,,,,
9,1.0982,4.623493975903614e-07,0.75,5000,,,,,,,
10,1.0549,4.585843373493976e-07,0.83,5500,,,,,,,
11,0.9883,4.5481927710843373e-07,0.9,6000,,,,,,,
12,0.9379,4.5105421686746984e-07,0.98,6500,,,,,,,
13,,,1.0,6640,0.8854359984397888,0.6030911207199097,190.69,272.122,,,
14,0.8971,4.47289156626506e-07,1.05,7000,,,,,,,
15,0.8734,4.4352409638554216e-07,1.13,7500,,,,,,,
16,0.8544,4.3975903614457827e-07,1.2,8000,,,,,,,
17,0.8394,4.359939759036144e-07,1.28,8500,,,,,,,
18,0.8156,4.322289156626506e-07,1.36,9000,,,,,,,
19,0.8379,4.2846385542168674e-07,1.43,9500,,,,,,,
20,0.8096,4.246987951807229e-07,1.51,10000,,,,,,,
21,0.7873,4.20933734939759e-07,1.58,10500,,,,,,,
22,0.7948,4.1716867469879517e-07,1.66,11000,,,,,,,
23,0.7765,4.134036144578313e-07,1.73,11500,,,,,,,
24,0.7843,4.0963855421686744e-07,1.81,12000,,,,,,,
25,0.7832,4.058734939759036e-07,1.88,12500,,,,,,,
26,0.7586,4.0210843373493976e-07,1.96,13000,,,,,,,
27,,,2.0,13280,0.7427389621734619,0.659632682800293,190.7142,272.088,,,
28,0.7701,3.983433734939759e-07,2.03,13500,,,,,,,
29,0.7696,3.945783132530121e-07,2.11,14000,,,,,,,
30,0.7443,3.9081325301204813e-07,2.18,14500,,,,,,,
31,0.7487,3.870481927710843e-07,2.26,15000,,,,,,,
32,0.7568,3.8328313253012045e-07,2.33,15500,,,,,,,
33,0.7461,3.795180722891566e-07,2.41,16000,,,,,,,
34,0.7493,3.7575301204819277e-07,2.48,16500,,,,,,,
35,0.7506,3.7198795180722893e-07,2.56,17000,,,,,,,
36,0.7394,3.682228915662651e-07,2.64,17500,,,,,,,
37,0.7365,3.644578313253012e-07,2.71,18000,,,,,,,
38,0.7211,3.606927710843373e-07,2.79,18500,,,,,,,
39,0.7379,3.5692771084337346e-07,2.86,19000,,,,,,,
40,0.7424,3.531626506024096e-07,2.94,19500,,,,,,,
41,,,3.0,19920,0.7278072834014893,0.6719855070114136,190.7512,272.035,,,
42,0.727,3.493975903614458e-07,3.01,20000,,,,,,,
43,0.7225,3.4563253012048194e-07,3.09,20500,,,,,,,
44,0.7258,3.4186746987951804e-07,3.16,21000,,,,,,,
45,0.7466,3.381024096385542e-07,3.24,21500,,,,,,,
46,0.7211,3.3433734939759036e-07,3.31,22000,,,,,,,
47,0.701,3.3057228915662647e-07,3.39,22500,,,,,,,
48,0.7132,3.2680722891566263e-07,3.46,23000,,,,,,,
49,0.7261,3.230421686746988e-07,3.54,23500,,,,,,,
50,0.7073,3.192771084337349e-07,3.61,24000,,,,,,,
51,0.7199,3.1551204819277106e-07,3.69,24500,,,,,,,
52,0.7049,3.117469879518072e-07,3.77,25000,,,,,,,
53,0.7161,3.079819277108434e-07,3.84,25500,,,,,,,
54,0.7122,3.0421686746987953e-07,3.92,26000,,,,,,,
55,0.7124,3.0045180722891564e-07,3.99,26500,,,,,,,
