,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.637,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,1.6059117317199707,0.2522239089012146,24.0588,462.575,,,
2,1.6146,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,1.5132436752319336,0.43238386511802673,24.3069,457.854,,,
4,1.5786,4.354338842975206e-07,2.07,1500,,,,,,,
5,1.4577,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,1.2850900888442993,0.5210710763931274,24.3311,457.399,,,
7,1.3216,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,1.1341304779052734,0.5702219605445862,24.292,458.135,,,
9,1.2378,3.708677685950413e-07,4.13,3000,,,,,,,
10,1.1562,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,1.049750566482544,0.5945727229118347,24.2807,458.347,,,
12,1.1116,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.9956353306770325,0.6154191493988037,24.2923,458.129,,,
14,1.0616,3.0630165289256197e-07,6.2,4500,,,,,,,
15,1.0259,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.9597360491752625,0.6294366121292114,24.3281,457.455,,,
17,1.0184,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.9296257495880127,0.6482163667678833,24.3595,456.864,,,
19,0.977,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.9771,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.907106876373291,0.6573815941810608,24.3162,457.678,,,
22,0.9435,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.8929124474525452,0.6634917855262756,24.3172,457.66,,,
24,0.9341,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.8801381587982178,0.6686135530471802,24.3488,457.066,,,
26,0.9313,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.9168,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.8715373873710632,0.6723874807357788,24.3466,457.107,,,
29,0.9178,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.8654943108558655,0.6743642687797546,24.3122,457.754,,,
31,0.8961,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.9008,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.8607414364814758,0.6781381964683533,24.3148,457.704,,,
34,0.8931,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.858718991279602,0.6782280802726746,24.343,457.174,,,
36,0.8949,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.8838,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.8579674959182739,0.6789469122886658,24.3865,456.359,,,
39,,,16.0,11616,,,,,1685.842,6.89,3312382161372840.0
