,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.9392,4.784779614325069e-05,0.69,500,,,,,,,,,,
1,,,1.0,726,0.7359023690223694,0.7195615172386169,71.2354,156.229,9.77,,,,,
2,0.6198,4.569559228650138e-05,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.7596418857574463,0.7336688041687012,71.4228,155.819,9.745,,,,,
4,0.4436,4.354338842975207e-05,2.07,1500,,,,,,,,,,
5,0.2189,4.139118457300275e-05,2.75,2000,,,,,,,,,,
6,,,3.0,2178,1.097812294960022,0.7236049771308899,71.7501,155.108,9.7,,,,,
7,0.1582,3.9238980716253446e-05,3.44,2500,,,,,,,,,,
8,,,4.0,2904,1.7928003072738647,0.720460057258606,71.952,154.672,9.673,,,,,
9,0.1184,3.708677685950414e-05,4.13,3000,,,,,,,,,,
10,0.0828,3.4934573002754824e-05,4.82,3500,,,,,,,,,,
11,,,5.0,3630,1.8285447359085083,0.7254021167755127,71.8714,154.846,9.684,,,,,
12,0.0706,3.278236914600551e-05,5.51,4000,,,,,,,,,,
13,,,6.0,4356,2.1203789710998535,0.7201006412506104,71.5422,155.558,9.729,,,,,
14,0.0589,3.06301652892562e-05,6.2,4500,,,,,,,,,,
15,0.0352,2.847796143250689e-05,6.89,5000,,,,,,,,,,
16,,,7.0,5082,2.6100401878356934,0.7261209487915039,71.4669,155.723,9.739,,,,,
17,0.0274,2.6325757575757575e-05,7.58,5500,,,,,,,,,,
18,,,8.0,5808,2.560985803604126,0.726390540599823,71.5142,155.62,9.732,,,,,
19,0.0174,2.4173553719008264e-05,8.26,6000,,,,,,,,,,
20,0.0216,2.2021349862258957e-05,8.95,6500,,,,,,,,,,
21,,,9.0,6534,2.525080919265747,0.7303441166877747,72.0487,154.465,9.66,,,,,
22,0.01,1.9869146005509643e-05,9.64,7000,,,,,,,,,,
23,,,10.0,7260,3.0007925033569336,0.7266600728034973,71.9991,154.571,9.667,,,,,
24,0.0075,1.7716942148760332e-05,10.33,7500,,,,,,,,,,
25,,,11.0,7986,2.943186044692993,0.7286369204521179,71.8985,154.788,9.68,,,,,
26,0.0084,1.5564738292011018e-05,11.02,8000,,,,,,,,,,
27,0.0043,1.3412534435261709e-05,11.71,8500,,,,,,,,,,
28,,,12.0,8712,3.002102851867676,0.7285470366477966,71.5485,155.545,9.728,,,,,
29,0.0061,1.1260330578512397e-05,12.4,9000,,,,,,,,,,
30,,,13.0,9438,3.013076066970825,0.73294997215271,71.5981,155.437,9.721,,,,,
31,0.0029,9.108126721763086e-06,13.09,9500,,,,,,,,,,
32,0.0016,6.955922865013774e-06,13.77,10000,,,,,,,,,,
33,,,14.0,10164,3.003279685974121,0.7370833158493042,71.6883,155.242,9.709,,,,,
34,0.0011,4.803719008264463e-06,14.46,10500,,,,,,,,,,
35,,,15.0,10890,3.09624981880188,0.7335789203643799,72.3674,153.785,9.618,,,,,
36,0.0026,2.651515151515152e-06,15.15,11000,,,,,,,,,,
37,0.0007,4.993112947658403e-07,15.84,11500,,,,,,,,,,
38,,,16.0,11616,3.016007661819458,0.7350166440010071,71.5415,155.56,9.729,,,,,
39,,,16.0,11616,,,,,,4839.4332,38.385,2.4,1.873537392232776e+16,0.12298076360848201
