,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.6116,4.941806331471135e-07,0.19,500,,,,,,,
1,1.6103,4.883612662942272e-07,0.37,1000,,,,,,,
2,1.6095,4.825418994413408e-07,0.56,1500,,,,,,,
3,1.6111,4.7672253258845435e-07,0.74,2000,,,,,,,
4,1.6101,4.709031657355679e-07,0.93,2500,,,,,,,
5,,,1.0,2685,1.6053045988082886,0.281074196100235,42.7233,1011.04,,,
6,1.6072,4.650837988826816e-07,1.12,3000,,,,,,,
7,1.5993,4.5926443202979516e-07,1.3,3500,,,,,,,
8,1.5793,4.534450651769087e-07,1.49,4000,,,,,,,
9,1.5507,4.476256983240223e-07,1.68,4500,,,,,,,
10,1.519,4.4180633147113597e-07,1.86,5000,,,,,,,
11,,,2.0,5370,1.454067349433899,0.38749855756759644,41.1121,1050.663,,,
12,1.5026,4.3598696461824953e-07,2.05,5500,,,,,,,
13,1.4834,4.301675977653631e-07,2.23,6000,,,,,,,
14,1.4852,4.2434823091247667e-07,2.42,6500,,,,,,,
15,1.4656,4.185288640595903e-07,2.61,7000,,,,,,,
16,1.4525,4.127094972067039e-07,2.79,7500,,,,,,,
17,1.4386,4.068901303538175e-07,2.98,8000,,,,,,,
18,,,3.0,8055,1.3891353607177734,0.418682724237442,41.183,1048.855,,,
19,1.4316,4.0107076350093104e-07,3.17,8500,,,,,,,
20,1.4209,3.9525139664804466e-07,3.35,9000,,,,,,,
21,1.4134,3.894320297951583e-07,3.54,9500,,,,,,,
22,1.4007,3.8361266294227185e-07,3.72,10000,,,,,,,
23,1.3998,3.7779329608938547e-07,3.91,10500,,,,,,,
24,,,4.0,10740,1.3462941646575928,0.4375043511390686,41.2069,1048.248,,,
25,1.3901,3.7197392923649904e-07,4.1,11000,,,,,,,
26,1.3844,3.6615456238361266e-07,4.28,11500,,,,,,,
27,1.3829,3.603351955307262e-07,4.47,12000,,,,,,,
28,1.3728,3.5451582867783984e-07,4.66,12500,,,,,,,
29,1.3585,3.486964618249534e-07,4.84,13000,,,,,,,
30,,,5.0,13425,1.3210866451263428,0.45072346925735474,41.1473,1049.766,,,
31,1.3721,3.4287709497206703e-07,5.03,13500,,,,,,,
32,1.3492,3.370577281191806e-07,5.21,14000,,,,,,,
33,1.3638,3.312383612662942e-07,5.4,14500,,,,,,,
34,1.3399,3.254189944134078e-07,5.59,15000,,,,,,,
35,1.3438,3.195996275605214e-07,5.77,15500,,,,,,,
36,1.346,3.1378026070763497e-07,5.96,16000,,,,,,,
37,,,6.0,16110,1.3024483919143677,0.45935872197151184,41.1619,1049.393,,,
38,1.3349,3.079608938547486e-07,6.15,16500,,,,,,,
39,1.3311,3.0214152700186216e-07,6.33,17000,,,,,,,
40,1.3262,2.963221601489758e-07,6.52,17500,,,,,,,
41,1.332,2.905027932960894e-07,6.7,18000,,,,,,,
42,1.3237,2.8468342644320297e-07,6.89,18500,,,,,,,
43,,,7.0,18795,1.2890799045562744,0.46581780910491943,41.093,1051.152,,,
44,1.3249,2.7886405959031653e-07,7.08,19000,,,,,,,
45,1.3192,2.7304469273743015e-07,7.26,19500,,,,,,,
46,1.3109,2.672253258845438e-07,7.45,20000,,,,,,,
47,1.3142,2.6140595903165734e-07,7.64,20500,,,,,,,
48,1.3196,2.555865921787709e-07,7.82,21000,,,,,,,
49,,,8.0,21480,1.2775648832321167,0.47172126173973083,41.1079,1050.771,,,
50,1.3081,2.4976722532588453e-07,8.01,21500,,,,,,,
51,1.2988,2.439478584729981e-07,8.19,22000,,,,,,,
52,1.3063,2.3812849162011172e-07,8.38,22500,,,,,,,
53,1.3003,2.323091247672253e-07,8.57,23000,,,,,,,
54,1.305,2.264897579143389e-07,8.75,23500,,,,,,,
55,1.3065,2.206703910614525e-07,8.94,24000,,,,,,,
56,,,9.0,24165,1.268695592880249,0.47584211826324463,41.0934,1051.143,,,
57,1.2893,2.148510242085661e-07,9.12,24500,,,,,,,
58,1.2997,2.0903165735567968e-07,9.31,25000,,,,,,,
59,1.2885,2.0321229050279328e-07,9.5,25500,,,,,,,
60,1.2901,1.973929236499069e-07,9.68,26000,,,,,,,
61,1.285,1.9157355679702047e-07,9.87,26500,,,,,,,
