,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.611,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,1.6074464321136475,0.25590798258781433,13.2216,841.731,,,
2,1.6086,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,1.5983211994171143,0.33740678429603577,13.2481,840.047,,,
4,1.6052,4.354338842975206e-07,2.07,1500,,,,,,,
5,1.59,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,1.5540627241134644,0.3928475081920624,13.3202,835.5,,,
7,1.5554,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,1.4621719121932983,0.41441279649734497,13.3096,836.163,,,
9,1.4996,3.708677685950413e-07,4.13,3000,,,,,,,
10,1.4497,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,1.3927568197250366,0.43472009897232056,13.3389,834.325,,,
12,1.4127,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,1.3453916311264038,0.4530505836009979,13.3534,833.419,,,
14,1.378,3.0630165289256197e-07,6.2,4500,,,,,,,
15,1.3554,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,1.307342290878296,0.4728187620639801,13.3393,834.301,,,
17,1.3382,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,1.2833385467529297,0.484140545129776,13.3898,831.156,,,
19,1.323,2.417355371900826e-07,8.26,6000,,,,,,,
20,1.3009,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,1.2615073919296265,0.49096953868865967,13.3583,833.117,,,
22,1.2908,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,1.243512749671936,0.49995505809783936,13.3747,832.095,,,
24,1.2796,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,1.2300817966461182,0.5068739056587219,13.3525,833.476,,,
26,1.2651,1.5564738292011019e-07,11.02,8000,,,,,,,
27,1.2564,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,1.2170839309692383,0.5124449729919434,13.3243,835.243,,,
29,1.252,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,1.2091177701950073,0.516218900680542,13.3495,833.661,,,
31,1.247,9.108126721763084e-08,13.09,9500,,,,,,,
32,1.2445,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,1.204107403755188,0.5172073245048523,13.3872,831.316,,,
34,1.2408,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,1.200247883796692,0.5195435285568237,13.346,833.88,,,
36,1.234,2.6515151515151513e-08,15.15,11000,,,,,,,
37,1.2343,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,1.1992324590682983,0.5202623605728149,13.346,833.886,,,
39,,,16.0,11616,,,,,925.5402,12.551,145263046529520.0
