,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.6193,4.981215718686603e-07,0.04,500,,,,,,,
1,1.6165,4.962431437373206e-07,0.08,1000,,,,,,,
2,1.6121,4.943647156059809e-07,0.11,1500,,,,,,,
3,1.6179,4.924862874746412e-07,0.15,2000,,,,,,,
4,1.6142,4.906078593433015e-07,0.19,2500,,,,,,,
5,1.6113,4.887294312119619e-07,0.23,3000,,,,,,,
6,1.6193,4.868510030806221e-07,0.26,3500,,,,,,,
7,1.5865,4.849725749492824e-07,0.3,4000,,,,,,,
8,1.5549,4.830941468179428e-07,0.34,4500,,,,,,,
9,1.495,4.81215718686603e-07,0.38,5000,,,,,,,
10,1.425,4.793372905552633e-07,0.41,5500,,,,,,,
11,1.3923,4.774588624239236e-07,0.45,6000,,,,,,,
12,1.3526,4.7558043429258393e-07,0.49,6500,,,,,,,
13,1.3708,4.7370200616124425e-07,0.53,7000,,,,,,,
14,1.3524,4.7182357802990456e-07,0.56,7500,,,,,,,
15,1.3118,4.6994514989856487e-07,0.6,8000,,,,,,,
16,1.287,4.680667217672252e-07,0.64,8500,,,,,,,
17,1.2819,4.6618829363588544e-07,0.68,9000,,,,,,,
18,1.2926,4.6430986550454576e-07,0.71,9500,,,,,,,
19,1.2715,4.6243143737320607e-07,0.75,10000,,,,,,,
20,1.2599,4.6055300924186643e-07,0.79,10500,,,,,,,
21,1.2372,4.586745811105267e-07,0.83,11000,,,,,,,
22,1.2437,4.56796152979187e-07,0.86,11500,,,,,,,
23,1.2385,4.549177248478473e-07,0.9,12000,,,,,,,
24,1.25,4.530392967165076e-07,0.94,12500,,,,,,,
25,1.2528,4.511608685851679e-07,0.98,13000,,,,,,,
26,,,1.0,13309,1.1533818244934082,0.5309783816337585,307.2716,168.877,,,
27,1.2507,4.4928244045382826e-07,1.01,13500,,,,,,,
28,1.1972,4.474040123224885e-07,1.05,14000,,,,,,,
29,1.1821,4.4552558419114883e-07,1.09,14500,,,,,,,
30,1.1884,4.4364715605980914e-07,1.13,15000,,,,,,,
31,1.1659,4.417687279284694e-07,1.16,15500,,,,,,,
32,1.1892,4.398902997971297e-07,1.2,16000,,,,,,,
33,1.2061,4.380118716657901e-07,1.24,16500,,,,,,,
34,1.2018,4.3613344353445034e-07,1.28,17000,,,,,,,
35,1.175,4.3425501540311065e-07,1.31,17500,,,,,,,
36,1.1755,4.3237658727177096e-07,1.35,18000,,,,,,,
37,1.1932,4.304981591404313e-07,1.39,18500,,,,,,,
38,1.1968,4.2861973100909154e-07,1.43,19000,,,,,,,
39,1.1502,4.267413028777519e-07,1.47,19500,,,,,,,
40,1.1647,4.248628747464122e-07,1.5,20000,,,,,,,
41,1.1603,4.2298444661507247e-07,1.54,20500,,,,,,,
42,1.129,4.211060184837328e-07,1.58,21000,,,,,,,
43,1.1663,4.192275903523931e-07,1.62,21500,,,,,,,
44,1.1946,4.173491622210534e-07,1.65,22000,,,,,,,
45,1.1412,4.154707340897137e-07,1.69,22500,,,,,,,
46,1.1564,4.1359230595837404e-07,1.73,23000,,,,,,,
47,1.157,4.117138778270343e-07,1.77,23500,,,,,,,
48,1.1433,4.098354496956946e-07,1.8,24000,,,,,,,
49,1.1967,4.079570215643549e-07,1.84,24500,,,,,,,
50,1.1625,4.060785934330153e-07,1.88,25000,,,,,,,
51,1.1693,4.0420016530167554e-07,1.92,25500,,,,,,,
52,1.1336,4.0232173717033586e-07,1.95,26000,,,,,,,
53,1.1399,4.0044330903899617e-07,1.99,26500,,,,,,,
54,,,2.0,26618,1.112135410308838,0.5527740716934204,307.8475,168.561,,,
55,1.1363,3.9856488090765643e-07,2.03,27000,,,,,,,
56,1.1051,3.9668645277631674e-07,2.07,27500,,,,,,,
57,1.1223,3.948080246449771e-07,2.1,28000,,,,,,,
58,1.1157,3.9292959651363737e-07,2.14,28500,,,,,,,
59,1.1182,3.910511683822977e-07,2.18,29000,,,,,,,
60,1.1102,3.89172740250958e-07,2.22,29500,,,,,,,
61,1.0862,3.8729431211961825e-07,2.25,30000,,,,,,,
62,1.1397,3.8541588398827856e-07,2.29,30500,,,,,,,
63,1.0909,3.8353745585693893e-07,2.33,31000,,,,,,,
64,1.1237,3.816590277255992e-07,2.37,31500,,,,,,,
65,1.0833,3.797805995942595e-07,2.4,32000,,,,,,,
66,1.1155,3.779021714629198e-07,2.44,32500,,,,,,,
67,1.1116,3.7602374333158013e-07,2.48,33000,,,,,,,
68,1.1297,3.741453152002404e-07,2.52,33500,,,,,,,
69,1.1618,3.7226688706890075e-07,2.55,34000,,,,,,,
70,1.0825,3.7038845893756106e-07,2.59,34500,,,,,,,
71,1.1302,3.685100308062213e-07,2.63,35000,,,,,,,
72,1.0764,3.6663160267488164e-07,2.67,35500,,,,,,,
73,1.1286,3.6475317454354195e-07,2.7,36000,,,,,,,
74,1.1503,3.628747464122022e-07,2.74,36500,,,,,,,
75,1.1096,3.609963182808626e-07,2.78,37000,,,,,,,
76,1.1233,3.591178901495229e-07,2.82,37500,,,,,,,
77,1.1219,3.5723946201818315e-07,2.86,38000,,,,,,,
78,1.0793,3.5536103388684346e-07,2.89,38500,,,,,,,
79,1.1138,3.5348260575550377e-07,2.93,39000,,,,,,,
80,1.0944,3.5160417762416414e-07,2.97,39500,,,,,,,
81,,,3.0,39927,1.0912954807281494,0.5594611763954163,308.0302,168.461,,,
82,1.1369,3.497257494928244e-07,3.01,40000,,,,,,,
83,1.0707,3.478473213614847e-07,3.04,40500,,,,,,,
84,1.0835,3.45968893230145e-07,3.08,41000,,,,,,,
85,1.0758,3.440904650988053e-07,3.12,41500,,,,,,,
86,1.0768,3.422120369674656e-07,3.16,42000,,,,,,,
87,1.093,3.4033360883612596e-07,3.19,42500,,,,,,,
