,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6942,4.941806331471135e-07,0.19,500,,,,,,,,,,
1,0.6935,4.883612662942272e-07,0.37,1000,,,,,,,,,,
2,0.6937,4.825418994413408e-07,0.56,1500,,,,,,,,,,
3,0.6943,4.7672253258845435e-07,0.74,2000,,,,,,,,,,
4,0.6947,4.709031657355679e-07,0.93,2500,,,,,,,,,,
5,,,1.0,2685,0.6931206583976746,0.5025812983512878,50.4399,856.366,53.529,,,,,
6,0.6938,4.650837988826816e-07,1.12,3000,,,,,,,,,,
7,0.6937,4.5926443202979516e-07,1.3,3500,,,,,,,,,,
8,0.6933,4.534450651769087e-07,1.49,4000,,,,,,,,,,
9,0.6936,4.476256983240223e-07,1.68,4500,,,,,,,,,,
10,0.6934,4.4180633147113597e-07,1.86,5000,,,,,,,,,,
11,,,2.0,5370,0.6930704712867737,0.5082995891571045,53.5781,806.207,50.394,,,,,
12,0.6942,4.3598696461824953e-07,2.05,5500,,,,,,,,,,
13,0.6934,4.301675977653631e-07,2.23,6000,,,,,,,,,,
14,0.6939,4.2434823091247667e-07,2.42,6500,,,,,,,,,,
15,0.6937,4.185288640595903e-07,2.61,7000,,,,,,,,,,
16,0.6933,4.127094972067039e-07,2.79,7500,,,,,,,,,,
17,0.6936,4.068901303538175e-07,2.98,8000,,,,,,,,,,
18,,,3.0,8055,0.6930217146873474,0.5108461380004883,54.8172,787.983,49.255,,,,,
19,0.6936,4.0107076350093104e-07,3.17,8500,,,,,,,,,,
20,0.6932,3.9525139664804466e-07,3.35,9000,,,,,,,,,,
21,0.6933,3.894320297951583e-07,3.54,9500,,,,,,,,,,
22,0.6934,3.8361266294227185e-07,3.72,10000,,,,,,,,,,
23,0.6926,3.7779329608938547e-07,3.91,10500,,,,,,,,,,
24,,,4.0,10740,0.6929550766944885,0.5167496204376221,52.7113,819.463,51.222,,,,,
25,0.6927,3.7197392923649904e-07,4.1,11000,,,,,,,,,,
26,0.6931,3.6615456238361266e-07,4.28,11500,,,,,,,,,,
27,0.6932,3.603351955307262e-07,4.47,12000,,,,,,,,,,
28,0.6932,3.5451582867783984e-07,4.66,12500,,,,,,,,,,
29,0.693,3.486964618249534e-07,4.84,13000,,,,,,,,,,
30,,,5.0,13425,0.6927152872085571,0.5276305079460144,51.8134,833.664,52.11,,,,,
31,0.6929,3.4287709497206703e-07,5.03,13500,,,,,,,,,,
32,0.6934,3.370577281191806e-07,5.21,14000,,,,,,,,,,
33,0.6929,3.312383612662942e-07,5.4,14500,,,,,,,,,,
34,0.6924,3.254189944134078e-07,5.59,15000,,,,,,,,,,
35,0.6926,3.195996275605214e-07,5.77,15500,,,,,,,,,,
36,0.6927,3.1378026070763497e-07,5.96,16000,,,,,,,,,,
37,,,6.0,16110,0.6918944120407104,0.5492302179336548,51.7947,833.966,52.129,,,,,
38,0.6922,3.079608938547486e-07,6.15,16500,,,,,,,,,,
39,0.6916,3.0214152700186216e-07,6.33,17000,,,,,,,,,,
40,0.6918,2.963221601489758e-07,6.52,17500,,,,,,,,,,
41,0.6899,2.905027932960894e-07,6.7,18000,,,,,,,,,,
42,0.6884,2.8468342644320297e-07,6.89,18500,,,,,,,,,,
43,,,7.0,18795,0.6833023428916931,0.5924991369247437,52.03,830.195,51.893,,,,,
44,0.6861,2.7886405959031653e-07,7.08,19000,,,,,,,,,,
45,0.6791,2.7304469273743015e-07,7.26,19500,,,,,,,,,,
46,0.6706,2.672253258845438e-07,7.45,20000,,,,,,,,,,
47,0.661,2.6140595903165734e-07,7.64,20500,,,,,,,,,,
48,0.6515,2.555865921787709e-07,7.82,21000,,,,,,,,,,
49,,,8.0,21480,0.6425980925559998,0.6280587911605835,51.4906,838.89,52.437,,,,,
50,0.6443,2.4976722532588453e-07,8.01,21500,,,,,,,,,,
51,0.6361,2.439478584729981e-07,8.19,22000,,,,,,,,,,
52,0.6318,2.3812849162011172e-07,8.38,22500,,,,,,,,,,
53,0.6294,2.323091247672253e-07,8.57,23000,,,,,,,,,,
54,0.6167,2.264897579143389e-07,8.75,23500,,,,,,,,,,
55,0.6176,2.206703910614525e-07,8.94,24000,,,,,,,,,,
56,,,9.0,24165,0.609929621219635,0.6521819829940796,51.2384,843.02,52.695,,,,,
57,0.6156,2.148510242085661e-07,9.12,24500,,,,,,,,,,
58,0.6105,2.0903165735567968e-07,9.31,25000,,,,,,,,,,
59,0.6069,2.0321229050279328e-07,9.5,25500,,,,,,,,,,
60,0.6104,1.973929236499069e-07,9.68,26000,,,,,,,,,,
61,0.6036,1.9157355679702047e-07,9.87,26500,,,,,,,,,,
62,,,10.0,26850,0.6002700328826904,0.6583169102668762,51.8749,832.676,52.048,,,,,
63,0.6056,1.8575418994413409e-07,10.06,27000,,,,,,,,,,
64,0.6053,1.7993482309124765e-07,10.24,27500,,,,,,,,,,
65,0.596,1.7411545623836127e-07,10.43,28000,,,,,,,,,,
66,0.6023,1.6829608938547484e-07,10.61,28500,,,,,,,,,,
67,0.602,1.6247672253258846e-07,10.8,29000,,,,,,,,,,
68,0.5925,1.5665735567970203e-07,10.99,29500,,,,,,,,,,
69,,,11.0,29535,0.5969440340995789,0.6609098315238953,51.4811,839.046,52.446,,,,,
