,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6939,4.7847796143250695e-06,0.69,500,,,,,,,,,,
1,,,1.0,726,0.6931012868881226,0.5008535981178284,13.6263,816.729,51.078,,,,,
2,0.6942,4.569559228650139e-06,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.6930512189865112,0.5067840814590454,14.6084,761.82,47.644,,,,,
4,0.6936,4.354338842975207e-06,2.07,1500,,,,,,,,,,
5,0.6934,4.139118457300276e-06,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.692448079586029,0.5466798543930054,14.0879,789.971,49.404,,,,,
7,0.6925,3.923898071625344e-06,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.614389181137085,0.6411178112030029,13.8782,801.905,50.151,,,,,
9,0.6576,3.7086776859504137e-06,4.13,3000,,,,,,,,,,
10,0.5918,3.4934573002754824e-06,4.82,3500,,,,,,,,,,
11,,,5.0,3630,0.5520588159561157,0.6834396719932556,13.9777,796.197,49.794,,,,,
12,0.552,3.278236914600551e-06,5.51,4000,,,,,,,,,,
13,,,6.0,4356,0.5357931852340698,0.7012310028076172,13.9686,796.714,49.826,,,,,
14,0.5311,3.06301652892562e-06,6.2,4500,,,,,,,,,,
15,0.5207,2.847796143250689e-06,6.89,5000,,,,,,,,,,
16,,,7.0,5082,0.5417753458023071,0.7081498503684998,14.3763,774.119,48.413,,,,,
17,0.494,2.6325757575757576e-06,7.58,5500,,,,,,,,,,
18,,,8.0,5808,0.5477971434593201,0.71300208568573,13.6854,813.203,50.857,,,,,
19,0.4749,2.4173553719008267e-06,8.26,6000,,,,,,,,,,
20,0.4741,2.2021349862258958e-06,8.95,6500,,,,,,,,,,
21,,,9.0,6534,0.5423719882965088,0.7209093570709229,13.3668,832.584,52.069,,,,,
22,0.4485,1.9869146005509644e-06,9.64,7000,,,,,,,,,,
23,,,10.0,7260,0.5432684421539307,0.7203702330589294,13.8739,802.153,50.166,,,,,
24,0.4433,1.7716942148760333e-06,10.33,7500,,,,,,,,,,
25,,,11.0,7986,0.5434223413467407,0.7242339849472046,14.312,777.599,48.63,,,,,
26,0.4364,1.556473829201102e-06,11.02,8000,,,,,,,,,,
27,0.4269,1.341253443526171e-06,11.71,8500,,,,,,,,,,
28,,,12.0,8712,0.5629876852035522,0.7279180288314819,13.7141,811.501,50.751,,,,,
29,0.3987,1.1260330578512398e-06,12.4,9000,,,,,,,,,,
30,,,13.0,9438,0.5605580806732178,0.727289080619812,14.327,776.785,48.58,,,,,
31,0.4053,9.108126721763086e-07,13.09,9500,,,,,,,,,,
32,0.3901,6.955922865013775e-07,13.77,10000,,,,,,,,,,
33,,,14.0,10164,0.580299437046051,0.7257615327835083,16.2744,683.835,42.767,,,,,
34,0.3819,4.803719008264464e-07,14.46,10500,,,,,,,,,,
35,,,15.0,10890,0.5771433711051941,0.7273789048194885,15.0426,739.832,46.269,,,,,
36,0.3748,2.651515151515152e-07,15.15,11000,,,,,,,,,,
37,0.3813,4.9931129476584024e-08,15.84,11500,,,,,,,,,,
38,,,16.0,11616,0.5752085447311401,0.7298049926757812,14.1847,784.576,49.067,,,,,
39,,,16.0,11616,,,,,,1024.1132,181.386,11.342,6035373018236952.0,0.5138582730096234
