,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.694,4.798646907216495e-07,0.64,500,,,,,,,,,,
1,,,1.0,776,0.693092942237854,0.5064135193824768,14.8729,796.751,49.822,,,,,
2,0.6942,4.597293814432989e-07,1.29,1000,,,,,,,,,,
3,0.6944,4.395940721649484e-07,1.93,1500,,,,,,,,,,
4,,,2.0,1552,0.6930658221244812,0.5049788951873779,14.8532,797.81,49.888,,,,,
5,0.6938,4.1945876288659794e-07,2.58,2000,,,,,,,,,,
6,,,3.0,2328,0.6930021047592163,0.5109704732894897,14.5883,812.293,50.794,,,,,
7,0.6939,3.993234536082474e-07,3.22,2500,,,,,,,,,,
8,0.6937,3.7918814432989687e-07,3.87,3000,,,,,,,,,,
9,,,4.0,3104,0.6929625868797302,0.5093671083450317,14.9237,794.038,49.652,,,,,
10,0.6934,3.590528350515464e-07,4.51,3500,,,,,,,,,,
11,,,5.0,3880,0.6928865909576416,0.5183122158050537,14.7229,804.871,50.33,,,,,
12,0.6935,3.3891752577319586e-07,5.15,4000,,,,,,,,,,
13,0.6929,3.187822164948453e-07,5.8,4500,,,,,,,,,,
14,,,6.0,4656,0.6927371025085449,0.5221096873283386,15.3573,771.619,48.251,,,,,
15,0.6933,2.9864690721649484e-07,6.44,5000,,,,,,,,,,
16,,,7.0,5432,0.6925143599510193,0.5253164768218994,14.8403,798.499,49.931,,,,,
17,0.6928,2.785115979381443e-07,7.09,5500,,,,,,,,,,
18,0.6927,2.583762886597938e-07,7.73,6000,,,,,,,,,,
19,,,8.0,6208,0.6922425627708435,0.5300421714782715,15.1075,784.377,49.048,,,,,
20,0.6928,2.382409793814433e-07,8.38,6500,,,,,,,,,,
21,,,9.0,6984,0.6916923522949219,0.5382278561592102,14.8654,797.154,49.847,,,,,
22,0.6921,2.1810567010309278e-07,9.02,7000,,,,,,,,,,
23,0.6924,1.9797036082474224e-07,9.66,7500,,,,,,,,,,
24,,,10.0,7760,0.6909775137901306,0.5423628687858582,14.72,805.027,50.34,,,,,
25,0.6916,1.7783505154639176e-07,10.31,8000,,,,,,,,,,
26,0.691,1.5769974226804123e-07,10.95,8500,,,,,,,,,,
27,,,11.0,8536,0.6901243329048157,0.5448945164680481,14.9404,793.154,49.597,,,,,
28,0.6907,1.3756443298969072e-07,11.6,9000,,,,,,,,,,
29,,,12.0,9312,0.6890547275543213,0.549451470375061,15.2375,777.688,48.63,,,,,
30,0.6899,1.174291237113402e-07,12.24,9500,,,,,,,,,,
31,0.6895,9.729381443298969e-08,12.89,10000,,,,,,,,,,
32,,,13.0,10088,0.688106894493103,0.5517299771308899,14.999,790.052,49.403,,,,,
33,0.6882,7.715850515463918e-08,13.53,10500,,,,,,,,,,
34,,,14.0,10864,0.6872909069061279,0.552405059337616,14.6169,810.707,50.695,,,,,
35,0.6887,5.702319587628866e-08,14.18,11000,,,,,,,,,,
36,0.6884,3.688788659793814e-08,14.82,11500,,,,,,,,,,
37,,,15.0,11640,0.6868017911911011,0.552320659160614,15.0742,786.109,49.157,,,,,
38,0.6869,1.6752577319587627e-08,15.46,12000,,,,,,,,,,
39,,,16.0,12416,0.6866137385368347,0.553080141544342,15.0682,786.425,49.176,,,,,
40,,,16.0,12416,,,,,,1095.4468,181.332,11.334,6453365922802188.0,0.6917522051899704
