,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6937,4.784779614325068e-07,0.69,500,,,,,,,,,,
1,,,1.0,726,0.6931182146072388,0.49959564208984375,14.6105,761.714,47.637,,,,,
2,0.6938,4.569559228650138e-07,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.6930924654006958,0.5018420219421387,15.8239,703.305,43.984,,,,,
4,0.6938,4.354338842975206e-07,2.07,1500,,,,,,,,,,
5,0.6943,4.139118457300275e-07,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.6930541396141052,0.5056159496307373,14.172,785.282,49.111,,,,,
7,0.6942,3.9238980716253437e-07,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.6930088996887207,0.5088507533073425,14.3876,773.514,48.375,,,,,
9,0.6935,3.708677685950413e-07,4.13,3000,,,,,,,,,,
10,0.6931,3.4934573002754817e-07,4.82,3500,,,,,,,,,,
11,,,5.0,3630,0.692993700504303,0.5095695853233337,14.6864,757.778,47.391,,,,,
12,0.694,3.2782369146005507e-07,5.51,4000,,,,,,,,,,
13,,,6.0,4356,0.6929316520690918,0.5119956731796265,14.3412,776.015,48.531,,,,,
14,0.6931,3.0630165289256197e-07,6.2,4500,,,,,,,,,,
15,0.6931,2.8477961432506887e-07,6.89,5000,,,,,,,,,,
16,,,7.0,5082,0.692873477935791,0.5141522288322449,37.7621,294.714,18.431,,,,,
17,0.6927,2.632575757575757e-07,7.58,5500,,,,,,,,,,
18,,,8.0,5808,0.6927852034568787,0.5168478488922119,38.7585,287.137,17.957,,,,,
19,0.693,2.417355371900826e-07,8.26,6000,,,,,,,,,,
20,0.6934,2.2021349862258954e-07,8.95,6500,,,,,,,,,,
21,,,9.0,6534,0.6926963329315186,0.5185551047325134,38.9174,285.964,17.884,,,,,
22,0.6931,1.986914600550964e-07,9.64,7000,,,,,,,,,,
23,,,10.0,7260,0.6925816535949707,0.5207116603851318,39.5809,281.171,17.584,,,,,
24,0.6935,1.771694214876033e-07,10.33,7500,,,,,,,,,,
25,,,11.0,7986,0.6924518942832947,0.5200826525688171,37.7218,295.028,18.451,,,,,
26,0.6928,1.5564738292011019e-07,11.02,8000,,,,,,,,,,
27,0.6933,1.3412534435261709e-07,11.71,8500,,,,,,,,,,
28,,,12.0,8712,0.6922863721847534,0.523676872253418,39.7931,279.672,17.49,,,,,
29,0.693,1.1260330578512396e-07,12.4,9000,,,,,,,,,,
30,,,13.0,9438,0.6921527981758118,0.5243058800697327,35.833,310.58,19.423,,,,,
31,0.6922,9.108126721763084e-08,13.09,9500,,,,,,,,,,
32,0.6919,6.955922865013773e-08,13.77,10000,,,,,,,,,,
33,,,14.0,10164,0.6920331120491028,0.5269116759300232,39.9207,278.778,17.435,,,,,
34,0.6925,4.8037190082644624e-08,14.46,10500,,,,,,,,,,
35,,,15.0,10890,0.6919596791267395,0.5277203917503357,43.4935,255.878,16.002,,,,,
36,0.6929,2.6515151515151513e-08,15.15,11000,,,,,,,,,,
37,0.6926,4.993112947658402e-09,15.84,11500,,,,,,,,,,
38,,,16.0,11616,0.6919347643852234,0.5278102159500122,38.027,292.66,18.303,,,,,
39,,,16.0,11616,,,,,,2250.7124,82.534,5.161,6035373018236952.0,0.6931867001798856
