,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.0804,4.941806331471136e-06,0.19,500,,,,,,,
1,0.9411,4.883612662942272e-06,0.37,1000,,,,,,,
2,0.9152,4.8254189944134085e-06,0.56,1500,,,,,,,
3,0.8885,4.767225325884544e-06,0.74,2000,,,,,,,
4,0.873,4.70903165735568e-06,0.93,2500,,,,,,,
5,,,1.0,2685,0.8614363074302673,0.5972450375556946,80.2532,538.234,,,
6,0.842,4.6508379888268166e-06,1.12,3000,,,,,,,
7,0.8258,4.592644320297952e-06,1.3,3500,,,,,,,
8,0.8071,4.5344506517690875e-06,1.49,4000,,,,,,,
9,0.8009,4.476256983240224e-06,1.68,4500,,,,,,,
10,0.782,4.41806331471136e-06,1.86,5000,,,,,,,
11,,,2.0,5370,0.8268633484840393,0.6222248077392578,81.1019,532.602,,,
12,0.774,4.3598696461824955e-06,2.05,5500,,,,,,,
13,0.7539,4.301675977653632e-06,2.23,6000,,,,,,,
14,0.7371,4.243482309124767e-06,2.42,6500,,,,,,,
15,0.7418,4.185288640595904e-06,2.61,7000,,,,,,,
16,0.7529,4.127094972067039e-06,2.79,7500,,,,,,,
17,0.7502,4.068901303538175e-06,2.98,8000,,,,,,,
18,,,3.0,8055,0.8427934050559998,0.623359203338623,80.2876,538.004,,,
19,0.7056,4.010707635009311e-06,3.17,8500,,,,,,,
20,0.702,3.952513966480447e-06,3.35,9000,,,,,,,
21,0.7052,3.8943202979515835e-06,3.54,9500,,,,,,,
22,0.7013,3.836126629422719e-06,3.72,10000,,,,,,,
23,0.7057,3.7779329608938552e-06,3.91,10500,,,,,,,
24,,,4.0,10740,0.8416309952735901,0.6251881122589111,74.5286,579.576,,,
25,0.6892,3.719739292364991e-06,4.1,11000,,,,,,,
26,0.6612,3.661545623836127e-06,4.28,11500,,,,,,,
27,0.6727,3.603351955307263e-06,4.47,12000,,,,,,,
28,0.6663,3.545158286778399e-06,4.66,12500,,,,,,,
29,0.6806,3.4869646182495346e-06,4.84,13000,,,,,,,
30,,,5.0,13425,0.8831009864807129,0.6315314173698425,80.4986,536.593,,,
31,0.6721,3.4287709497206705e-06,5.03,13500,,,,,,,
32,0.6257,3.3705772811918064e-06,5.21,14000,,,,,,,
33,0.6203,3.3123836126629427e-06,5.4,14500,,,,,,,
34,0.6468,3.2541899441340786e-06,5.59,15000,,,,,,,
35,0.642,3.1959962756052145e-06,5.77,15500,,,,,,,
36,0.6628,3.13780260707635e-06,5.96,16000,,,,,,,
37,,,6.0,16110,0.8722965121269226,0.6306517124176025,78.8642,547.714,,,
38,0.6068,3.0796089385474862e-06,6.15,16500,,,,,,,
39,0.6163,3.021415270018622e-06,6.33,17000,,,,,,,
40,0.6118,2.963221601489758e-06,6.52,17500,,,,,,,
41,0.6016,2.9050279329608943e-06,6.7,18000,,,,,,,
42,0.6116,2.84683426443203e-06,6.89,18500,,,,,,,
43,,,7.0,18795,0.9275842905044556,0.6290543079376221,78.0172,553.66,,,
44,0.5931,2.788640595903166e-06,7.08,19000,,,,,,,
45,0.5612,2.7304469273743015e-06,7.26,19500,,,,,,,
46,0.5807,2.6722532588454383e-06,7.45,20000,,,,,,,
47,0.5722,2.6140595903165737e-06,7.64,20500,,,,,,,
48,0.606,2.5558659217877096e-06,7.82,21000,,,,,,,
49,,,8.0,21480,0.9183698296546936,0.627225399017334,74.9452,576.354,,,
50,0.5872,2.4976722532588455e-06,8.01,21500,,,,,,,
51,0.5471,2.4394785847299814e-06,8.19,22000,,,,,,,
52,0.5482,2.3812849162011177e-06,8.38,22500,,,,,,,
53,0.5623,2.323091247672253e-06,8.57,23000,,,,,,,
54,0.5534,2.2648975791433895e-06,8.75,23500,,,,,,,
55,0.558,2.2067039106145253e-06,8.94,24000,,,,,,,
56,,,9.0,24165,0.9873265624046326,0.6231276988983154,81.4625,530.244,,,
57,0.5387,2.1485102420856612e-06,9.12,24500,,,,,,,
58,0.5232,2.090316573556797e-06,9.31,25000,,,,,,,
59,0.5272,2.032122905027933e-06,9.5,25500,,,,,,,
60,0.5359,1.9739292364990693e-06,9.68,26000,,,,,,,
61,0.5437,1.915735567970205e-06,9.87,26500,,,,,,,
62,,,10.0,26850,1.02383553981781,0.6226646900177002,75.7108,570.526,,,
63,0.5299,1.857541899441341e-06,10.06,27000,,,,,,,
64,0.4953,1.799348230912477e-06,10.24,27500,,,,,,,
65,0.5203,1.7411545623836128e-06,10.43,28000,,,,,,,
66,0.5093,1.6829608938547487e-06,10.61,28500,,,,,,,
67,0.4977,1.6247672253258848e-06,10.8,29000,,,,,,,
68,0.5276,1.5665735567970205e-06,10.99,29500,,,,,,,
69,,,11.0,29535,1.0106356143951416,0.6240537166595459,75.5404,571.813,,,
70,0.4652,1.5083798882681566e-06,11.17,30000,,,,,,,
71,0.4846,1.4501862197392925e-06,11.36,30500,,,,,,,
72,0.5008,1.3919925512104286e-06,11.55,31000,,,,,,,
73,0.4995,1.3337988826815642e-06,11.73,31500,,,,,,,
74,0.5005,1.2756052141527003e-06,11.92,32000,,,,,,,
75,,,12.0,32220,1.0562835931777954,0.6210904121398926,75.5283,571.905,,,
76,0.4718,1.2174115456238362e-06,12.1,32500,,,,,,,
77,0.4679,1.159217877094972e-06,12.29,33000,,,,,,,
78,0.4707,1.1010242085661082e-06,12.48,33500,,,,,,,
79,0.4736,1.042830540037244e-06,12.66,34000,,,,,,,
80,0.4762,9.8463687150838e-07,12.85,34500,,,,,,,
81,,,13.0,34905,1.087113618850708,0.6198171377182007,75.3832,573.006,,,
82,0.4959,9.264432029795159e-07,13.04,35000,,,,,,,
83,0.4606,8.682495344506518e-07,13.22,35500,,,,,,,
84,0.4533,8.100558659217877e-07,13.41,36000,,,,,,,
85,0.4519,7.518621973929237e-07,13.59,36500,,,,,,,
86,0.4625,6.936685288640596e-07,13.78,37000,,,,,,,
87,0.4637,6.354748603351956e-07,13.97,37500,,,,,,,
88,,,14.0,37590,1.127712368965149,0.6201412081718445,75.5492,571.747,,,
89,0.4546,5.772811918063316e-07,14.15,38000,,,,,,,
90,0.4449,5.190875232774674e-07,14.34,38500,,,,,,,
91,0.4421,4.608938547486034e-07,14.53,39000,,,,,,,
92,0.4384,4.027001862197393e-07,14.71,39500,,,,,,,
93,0.4423,3.4450651769087525e-07,14.9,40000,,,,,,,
94,,,15.0,40275,1.1514008045196533,0.6197939515113831,75.6,571.363,,,
95,0.4361,2.863128491620112e-07,15.08,40500,,,,,,,
96,0.4314,2.2811918063314715e-07,15.27,41000,,,,,,,
97,0.4473,1.6992551210428306e-07,15.46,41500,,,,,,,
98,0.434,1.11731843575419e-07,15.64,42000,,,,,,,
99,0.4468,5.353817504655494e-08,15.83,42500,,,,,,,
100,,,16.0,42960,1.16130793094635,0.6190299987792969,75.6245,571.177,,,
101,,,16.0,42960,,,,,5591.3947,7.683,5179041508225068.0
