,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1001,4.7847796143250695e-06,0.69,500,,,,,,,
1,,,1.0,726,0.9286401867866516,0.5107377171516418,20.4606,543.923,,,
2,0.9269,4.569559228650139e-06,1.38,1000,,,,,,,
3,,,2.0,1452,0.824166476726532,0.5916075110435486,20.6672,538.486,,,
4,0.8438,4.354338842975207e-06,2.07,1500,,,,,,,
5,0.804,4.139118457300276e-06,2.75,2000,,,,,,,
6,,,3.0,2178,0.8016690015792847,0.607332170009613,20.7112,537.343,,,
7,0.7602,3.923898071625344e-06,3.44,2500,,,,,,,
8,,,4.0,2904,0.7823997139930725,0.636355459690094,23.0508,482.802,,,
9,0.7166,3.7086776859504137e-06,4.13,3000,,,,,,,
10,0.6686,3.4934573002754824e-06,4.82,3500,,,,,,,
11,,,5.0,3630,0.7619430422782898,0.6626830697059631,22.9717,484.465,,,
12,0.6244,3.278236914600551e-06,5.51,4000,,,,,,,
13,,,6.0,4356,0.7493042945861816,0.6734657287597656,22.9136,485.693,,,
14,0.603,3.06301652892562e-06,6.2,4500,,,,,,,
15,0.5798,2.847796143250689e-06,6.89,5000,,,,,,,
16,,,7.0,5082,0.7762805819511414,0.6721178889274597,22.9408,485.118,,,
17,0.5391,2.6325757575757576e-06,7.58,5500,,,,,,,
18,,,8.0,5808,0.840491533279419,0.6742744445800781,22.9665,484.575,,,
19,0.5274,2.4173553719008267e-06,8.26,6000,,,,,,,
20,0.5093,2.2021349862258958e-06,8.95,6500,,,,,,,
21,,,9.0,6534,0.8970271944999695,0.6739149689674377,22.9565,484.787,,,
22,0.4713,1.9869146005509644e-06,9.64,7000,,,,,,,
23,,,10.0,7260,0.8938472270965576,0.6777787804603577,22.9293,485.362,,,
24,0.4671,1.7716942148760333e-06,10.33,7500,,,,,,,
25,,,11.0,7986,0.931037962436676,0.6761614084243774,22.9623,484.664,,,
26,0.4459,1.556473829201102e-06,11.02,8000,,,,,,,
27,0.4294,1.341253443526171e-06,11.71,8500,,,,,,,
28,,,12.0,8712,0.9453046321868896,0.678048312664032,23.0405,483.018,,,
29,0.4095,1.1260330578512398e-06,12.4,9000,,,,,,,
30,,,13.0,9438,0.9819391369819641,0.6761614084243774,22.9282,485.386,,,
31,0.4011,9.108126721763086e-07,13.09,9500,,,,,,,
32,0.3941,6.955922865013775e-07,13.77,10000,,,,,,,
33,,,14.0,10164,1.0167287588119507,0.6753526926040649,22.9097,485.778,,,
34,0.378,4.803719008264464e-07,14.46,10500,,,,,,,
35,,,15.0,10890,1.047390103340149,0.6753526926040649,22.9314,485.316,,,
36,0.3707,2.651515151515152e-07,15.15,11000,,,,,,,
37,0.3737,4.9931129476584024e-08,15.84,11500,,,,,,,
38,,,16.0,11616,1.0417625904083252,0.674903392791748,22.9412,485.109,,,
39,,,16.0,11616,,,,,1647.781,7.049,3261173149337796.0
