,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.0992,4.9530498798076925e-06,0.15,500,,,,,,,
1,1.1005,4.906099759615385e-06,0.3,1000,,,,,,,
2,1.0996,4.859149639423078e-06,0.45,1500,,,,,,,
3,1.0991,4.81219951923077e-06,0.6,2000,,,,,,,
4,1.0991,4.765249399038462e-06,0.75,2500,,,,,,,
5,1.0993,4.718299278846154e-06,0.9,3000,,,,,,,
6,,,1.0,3328,1.0985816717147827,0.3483070135116577,89.7041,578.469,,,
7,1.0998,4.671349158653847e-06,1.05,3500,,,,,,,
8,1.0771,4.624399038461539e-06,1.2,4000,,,,,,,
9,0.9859,4.577448918269231e-06,1.35,4500,,,,,,,
10,0.9705,4.5304987980769235e-06,1.5,5000,,,,,,,
11,0.951,4.483548677884616e-06,1.65,5500,,,,,,,
12,0.9422,4.436598557692309e-06,1.8,6000,,,,,,,
13,0.9282,4.389648437500001e-06,1.95,6500,,,,,,,
14,,,2.0,6656,0.9160796999931335,0.5585554242134094,89.9762,576.719,,,
15,0.8984,4.342698317307693e-06,2.1,7000,,,,,,,
16,0.8801,4.295748197115385e-06,2.25,7500,,,,,,,
17,0.8789,4.248798076923077e-06,2.4,8000,,,,,,,
18,0.878,4.201847956730769e-06,2.55,8500,,,,,,,
19,0.8687,4.154897836538461e-06,2.7,9000,,,,,,,
20,0.8556,4.107947716346154e-06,2.85,9500,,,,,,,
21,,,3.0,9984,0.8931983113288879,0.5781542062759399,89.8154,577.752,,,
22,0.867,4.0609975961538465e-06,3.0,10000,,,,,,,
23,0.8207,4.014047475961539e-06,3.16,10500,,,,,,,
24,0.8394,3.967097355769231e-06,3.31,11000,,,,,,,
25,0.8263,3.920147235576923e-06,3.46,11500,,,,,,,
26,0.8377,3.873197115384616e-06,3.61,12000,,,,,,,
27,0.8373,3.826246995192308e-06,3.76,12500,,,,,,,
28,0.8204,3.779296875e-06,3.91,13000,,,,,,,
29,,,4.0,13312,0.9022443890571594,0.5837621092796326,89.8657,577.428,,,
30,0.8223,3.7323467548076923e-06,4.06,13500,,,,,,,
31,0.7827,3.685396634615385e-06,4.21,14000,,,,,,,
32,0.7975,3.6384465144230774e-06,4.36,14500,,,,,,,
33,0.8067,3.5914963942307696e-06,4.51,15000,,,,,,,
34,0.7975,3.5445462740384617e-06,4.66,15500,,,,,,,
35,0.7918,3.497596153846154e-06,4.81,16000,,,,,,,
36,0.7961,3.450646033653847e-06,4.96,16500,,,,,,,
37,,,5.0,16640,0.877687394618988,0.5872694849967957,93.4989,554.991,,,
38,0.7783,3.403695913461539e-06,5.11,17000,,,,,,,
39,0.7655,3.356745793269231e-06,5.26,17500,,,,,,,
40,0.764,3.3097956730769232e-06,5.41,18000,,,,,,,
41,0.7782,3.2628455528846158e-06,5.56,18500,,,,,,,
42,0.7663,3.215895432692308e-06,5.71,19000,,,,,,,
43,0.7678,3.1689453125e-06,5.86,19500,,,,,,,
44,,,6.0,19968,0.9183913469314575,0.5895242094993591,91.4285,567.558,,,
45,0.7669,3.1219951923076926e-06,6.01,20000,,,,,,,
46,0.7365,3.0750450721153847e-06,6.16,20500,,,,,,,
47,0.7374,3.0280949519230773e-06,6.31,21000,,,,,,,
48,0.7415,2.9811448317307694e-06,6.46,21500,,,,,,,
49,0.7534,2.9341947115384616e-06,6.61,22000,,,,,,,
50,0.7542,2.8872445913461537e-06,6.76,22500,,,,,,,
51,0.7493,2.8402944711538467e-06,6.91,23000,,,,,,,
52,,,7.0,23296,0.9676901698112488,0.5881366729736328,92.2562,562.466,,,
53,0.7253,2.793344350961539e-06,7.06,23500,,,,,,,
54,0.7139,2.746394230769231e-06,7.21,24000,,,,,,,
55,0.7114,2.699444110576923e-06,7.36,24500,,,,,,,
56,0.7273,2.6524939903846157e-06,7.51,25000,,,,,,,
57,0.7376,2.6055438701923082e-06,7.66,25500,,,,,,,
58,0.7194,2.5585937500000004e-06,7.81,26000,,,,,,,
59,0.7215,2.5116436298076925e-06,7.96,26500,,,,,,,
60,,,8.0,26624,0.9437791109085083,0.585708498954773,89.379,580.573,,,
61,0.701,2.4646935096153846e-06,8.11,27000,,,,,,,
62,0.6926,2.417743389423077e-06,8.26,27500,,,,,,,
63,0.6873,2.3707932692307693e-06,8.41,28000,,,,,,,
64,0.7032,2.3238431490384615e-06,8.56,28500,,,,,,,
65,0.6937,2.276893028846154e-06,8.71,29000,,,,,,,
66,0.7091,2.229942908653846e-06,8.86,29500,,,,,,,
67,,,9.0,29952,0.9941919445991516,0.586016833782196,89.3287,580.899,,,
68,0.7028,2.1829927884615387e-06,9.01,30000,,,,,,,
69,0.6825,2.136042668269231e-06,9.16,30500,,,,,,,
70,0.6869,2.0890925480769234e-06,9.31,31000,,,,,,,
71,0.6758,2.0421424278846155e-06,9.47,31500,,,,,,,
72,0.6853,1.995192307692308e-06,9.62,32000,,,,,,,
73,0.6681,1.9482421875000002e-06,9.77,32500,,,,,,,
74,0.6781,1.9012920673076924e-06,9.92,33000,,,,,,,
75,,,10.0,33280,0.9825935363769531,0.5854194164276123,89.258,581.359,,,
76,0.6659,1.8543419471153847e-06,10.07,33500,,,,,,,
77,0.651,1.8073918269230769e-06,10.22,34000,,,,,,,
78,0.6546,1.7604417067307694e-06,10.37,34500,,,,,,,
79,0.6624,1.7134915865384616e-06,10.52,35000,,,,,,,
80,0.6684,1.6665414663461541e-06,10.67,35500,,,,,,,
81,0.6699,1.6195913461538462e-06,10.82,36000,,,,,,,
82,0.662,1.5726412259615386e-06,10.97,36500,,,,,,,
83,,,11.0,36608,1.009652018547058,0.5816808342933655,89.2991,581.092,,,
84,0.6496,1.525691105769231e-06,11.12,37000,,,,,,,
85,0.6559,1.4787409855769233e-06,11.27,37500,,,,,,,
86,0.635,1.4317908653846154e-06,11.42,38000,,,,,,,
87,0.6405,1.384840745192308e-06,11.57,38500,,,,,,,
88,0.6382,1.3378906250000001e-06,11.72,39000,,,,,,,
89,0.6363,1.2909405048076923e-06,11.87,39500,,,,,,,
