,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1013,4.798646907216496e-06,0.64,500,,,,,,,
1,,,1.0,776,1.0985584259033203,0.34649789333343506,21.6951,546.205,,,
2,1.0999,4.5972938144329895e-06,1.29,1000,,,,,,,
3,1.0127,4.395940721649485e-06,1.93,1500,,,,,,,
4,,,2.0,1552,0.8991287350654602,0.5509704351425171,21.8928,541.273,,,
5,0.8786,4.1945876288659794e-06,2.58,2000,,,,,,,
6,,,3.0,2328,0.8601107597351074,0.5841349959373474,21.7818,544.031,,,
7,0.824,3.993234536082475e-06,3.22,2500,,,,,,,
8,0.8004,3.7918814432989694e-06,3.87,3000,,,,,,,
9,,,4.0,3104,0.8084489703178406,0.6088607311248779,21.7381,545.126,,,
10,0.7427,3.5905283505154643e-06,4.51,3500,,,,,,,
11,,,5.0,3880,0.7827415466308594,0.6369619965553284,21.634,547.748,,,
12,0.7213,3.3891752577319593e-06,5.15,4000,,,,,,,
13,0.6786,3.187822164948454e-06,5.8,4500,,,,,,,
14,,,6.0,4656,0.7989144325256348,0.64886075258255,21.6766,546.674,,,
15,0.6624,2.986469072164949e-06,6.44,5000,,,,,,,
16,,,7.0,5432,0.8077472448348999,0.653417706489563,21.9137,540.756,,,
17,0.6238,2.7851159793814438e-06,7.09,5500,,,,,,,
18,0.5928,2.5837628865979388e-06,7.73,6000,,,,,,,
19,,,8.0,6208,0.7973854541778564,0.6557806134223938,21.685,546.46,,,
20,0.5809,2.382409793814433e-06,8.38,6500,,,,,,,
21,,,9.0,6984,0.8324486613273621,0.656286895275116,21.657,547.166,,,
22,0.5766,2.181056701030928e-06,9.02,7000,,,,,,,
23,0.535,1.979703608247423e-06,9.66,7500,,,,,,,
24,,,10.0,7760,0.8712660074234009,0.6560337543487549,21.6876,546.396,,,
25,0.5306,1.7783505154639178e-06,10.31,8000,,,,,,,
26,0.5078,1.5769974226804125e-06,10.95,8500,,,,,,,
27,,,11.0,8536,0.9037822484970093,0.6602531671524048,21.6743,546.73,,,
28,0.4866,1.3756443298969075e-06,11.6,9000,,,,,,,
29,,,12.0,9312,0.8986082673072815,0.6589029431343079,21.6787,546.619,,,
30,0.4744,1.174291237113402e-06,12.24,9500,,,,,,,
31,0.4698,9.72938144329897e-07,12.89,10000,,,,,,,
32,,,13.0,10088,0.9033315181732178,0.6600843667984009,21.605,548.484,,,
33,0.4576,7.715850515463919e-07,13.53,10500,,,,,,,
34,,,14.0,10864,0.9647901654243469,0.6599156260490417,21.6391,547.621,,,
35,0.4585,5.702319587628866e-07,14.18,11000,,,,,,,
36,0.4366,3.688788659793815e-07,14.82,11500,,,,,,,
37,,,15.0,11640,0.9740220308303833,0.6580590605735779,21.6125,548.293,,,
38,0.4316,1.675257731958763e-07,15.46,12000,,,,,,,
39,,,16.0,12416,0.9863539934158325,0.6585654020309448,21.6346,547.733,,,
40,,,16.0,12416,,,,,1611.5127,7.705,4866586136860734.0
