,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.61,4.94E-07,0.19,500,,,,,,,,,,
1,1.6081,4.88E-07,0.37,1000,,,,,,,,,,
2,1.5964,4.83E-07,0.56,1500,,,,,,,,,,
3,1.5364,4.77E-07,0.74,2000,,,,,,,,,,
4,1.469,4.71E-07,0.93,2500,,,,,,,,,,
5,,,1,2685,1.309174538,0.463043184,222.013,194.561,12.161,,,,,
6,1.4222,4.65E-07,1.12,3000,,,,,,,,,,
7,1.3829,4.59E-07,1.3,3500,,,,,,,,,,
8,1.3251,4.53E-07,1.49,4000,,,,,,,,,,
9,1.297,4.48E-07,1.68,4500,,,,,,,,,,
10,1.2765,4.42E-07,1.86,5000,,,,,,,,,,
11,,,2,5370,1.164910793,0.505247147,222.485,194.148,12.136,,,,,
12,1.2687,4.36E-07,2.05,5500,,,,,,,,,,
13,1.2421,4.30E-07,2.23,6000,,,,,,,,,,
14,1.2265,4.24E-07,2.42,6500,,,,,,,,,,
15,1.2242,4.19E-07,2.61,7000,,,,,,,,,,
16,1.2044,4.13E-07,2.79,7500,,,,,,,,,,
17,1.1899,4.07E-07,2.98,8000,,,,,,,,,,
18,,,3,8055,1.125691533,0.521846266,222.6758,193.982,12.125,,,,,
19,1.1706,4.01E-07,3.17,8500,,,,,,,,,,
20,1.1747,3.95E-07,3.35,9000,,,,,,,,,,
21,1.1595,3.89E-07,3.54,9500,,,,,,,,,,
22,1.1744,3.84E-07,3.72,10000,,,,,,,,,,
23,1.1708,3.78E-07,3.91,10500,,,,,,,,,,
24,,,4,10740,1.098556042,0.521569631,222.7352,193.93,12.122,,,,,
25,1.1507,3.72E-07,4.1,11000,,,,,,,,,,
26,1.1354,3.66E-07,4.28,11500,,,,,,,,,,
27,1.1527,3.60E-07,4.47,12000,,,,,,,,,,
28,1.1246,3.55E-07,4.66,12500,,,,,,,,,,
29,1.1351,3.49E-07,4.84,13000,,,,,,,,,,
30,,,5,13425,1.089418769,0.526778541,222.3657,194.252,12.142,,,,,
31,1.1164,3.43E-07,5.03,13500,,,,,,,,,,
32,1.1223,3.37E-07,5.21,14000,,,,,,,,,,
33,1.1175,3.31E-07,5.4,14500,,,,,,,,,,
34,1.1,3.25E-07,5.59,15000,,,,,,,,,,
35,1.114,3.20E-07,5.77,15500,,,,,,,,,,
36,1.1048,3.14E-07,5.96,16000,,,,,,,,,,
37,,,6,16110,1.080606103,0.530505857,222.7744,193.896,12.12,,,,,
38,1.1101,3.08E-07,6.15,16500,,,,,,,,,,
39,1.1052,3.02E-07,6.33,17000,,,,,,,,,,
40,1.0905,2.96E-07,6.52,17500,,,,,,,,,,
41,1.0975,2.91E-07,6.7,18000,,,,,,,,,,
42,1.086,2.85E-07,6.89,18500,,,,,,,,,,
43,,,7,18795,1.074052215,0.53328397,222.7663,193.903,12.12,,,,,
44,1.0833,2.79E-07,7.08,19000,,,,,,,,,,
45,1.0683,2.73E-07,7.26,19500,,,,,,,,,,
46,1.102,2.67E-07,7.45,20000,,,,,,,,,,
47,1.0864,2.61E-07,7.64,20500,,,,,,,,,,
48,1.0885,2.56E-07,7.82,21000,,,,,,,,,,
49,,,8,21480,1.06755197,0.536363027,222.8008,193.873,12.118,,,,,
50,1.0943,2.50E-07,8.01,21500,,,,,,,,,,
51,1.0717,2.44E-07,8.19,22000,,,,,,,,,,
52,1.0808,2.38E-07,8.38,22500,,,,,,,,,,
53,1.0914,2.32E-07,8.57,23000,,,,,,,,,,
54,1.0785,2.26E-07,8.75,23500,,,,,,,,,,
55,1.0642,2.21E-07,8.94,24000,,,,,,,,,,
56,,,9,24165,1.069591403,0.537103853,222.8252,193.852,12.117,,,,,
57,1.0776,2.15E-07,9.12,24500,,,,,,,,,,
58,1.05,2.09E-07,9.31,25000,,,,,,,,,,
59,1.0702,2.03E-07,9.5,25500,,,,,,,,,,
